ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,22,2022-01-10 18:03:50:632
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,27,2022-01-10 18:03:50:637
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,32,2022-01-10 18:03:50:642
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,38,2022-01-10 18:03:50:648
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,42,2022-01-10 18:03:50:652
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,47,2022-01-10 18:03:50:657
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,52,2022-01-10 18:03:50:662
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.17,-0.1289,0.0958,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,57,2022-01-10 18:03:50:667
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,62,2022-01-10 18:03:50:672
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,68,2022-01-10 18:03:50:678
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,77,2022-01-10 18:03:50:687
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,78,2022-01-10 18:03:50:688
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,82,2022-01-10 18:03:50:692
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,89,2022-01-10 18:03:50:699
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,92,2022-01-10 18:03:50:702
-1.5754,1.6845,9.396,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0306,-0.0246,0.0407,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,97,2022-01-10 18:03:50:707
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,21.3,-8.33,-34.57,266.33,-10.47,11.0,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,102,2022-01-10 18:03:50:712
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,108,2022-01-10 18:03:50:718
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,112,2022-01-10 18:03:50:722
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,117,2022-01-10 18:03:50:727
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,122,2022-01-10 18:03:50:732
-1.5598,1.5888,9.4522,-1.7591,1.7435,9.4887,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,127,2022-01-10 18:03:50:737
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,134,2022-01-10 18:03:50:744
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,137,2022-01-10 18:03:50:747
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,142,2022-01-10 18:03:50:752
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,147,2022-01-10 18:03:50:757
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,151,2022-01-10 18:03:50:761
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,158,2022-01-10 18:03:50:768
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,163,2022-01-10 18:03:50:773
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,167,2022-01-10 18:03:50:777
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,173,2022-01-10 18:03:50:783
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,177,2022-01-10 18:03:50:787
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,183,2022-01-10 18:03:50:793
-1.5598,1.5888,9.4522,-1.6805,1.6827,9.5139,0.1177,-0.0078,-0.0658,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,187,2022-01-10 18:03:50:797
-1.5191,1.584,9.5288,-1.6805,1.6827,9.5139,0.1451,-0.0476,0.0017,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,192,2022-01-10 18:03:50:802
-1.5191,1.584,9.5288,-1.6805,1.6827,9.5139,0.1451,-0.0476,0.0017,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,198,2022-01-10 18:03:50:808
-1.5191,1.584,9.5288,-1.6805,1.6827,9.5139,0.1451,-0.0476,0.0017,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,202,2022-01-10 18:03:50:812
-1.5191,1.584,9.5288,-1.6805,1.6827,9.5139,0.1451,-0.0476,0.0017,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,207,2022-01-10 18:03:50:817
-1.5191,1.584,9.5288,-1.6805,1.6827,9.5139,0.1451,-0.0476,0.0017,-0.0433,-0.0414,0.0246,75.0,19.5,-8.17,-35.85,265.93,-10.24,10.5,2.0,23.528,48.8439,2.353347,307.1,NaN,,45.01613,,0 / 19,213,2022-01-10 18:03:50:823
