ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2578,-0.3024,9.7158,-0.0805,-0.2911,9.802,-0.1707,-0.0211,-0.024,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.1,198.05,1.68,0.37,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,9,2022-01-10 18:38:58:631
-0.2578,-0.3024,9.7158,-0.0805,-0.2911,9.802,-0.1707,-0.0211,-0.024,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,14,2022-01-10 18:38:58:636
-0.2578,-0.3024,9.7158,-0.0877,-0.292,9.8019,-0.1707,-0.0211,-0.024,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,19,2022-01-10 18:38:58:641
-0.2578,-0.3024,9.7158,-0.0877,-0.292,9.8019,-0.1707,-0.0211,-0.024,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,24,2022-01-10 18:38:58:646
-0.2602,-0.3263,9.7397,-0.0877,-0.292,9.8019,-0.1551,-0.0452,0.0306,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,30,2022-01-10 18:38:58:652
-0.2602,-0.3263,9.7397,-0.0877,-0.292,9.8019,-0.1551,-0.0452,0.0306,5.0E-4,-4.0E-4,0.0023,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,34,2022-01-10 18:38:58:656
-0.2602,-0.3263,9.7397,-0.0877,-0.292,9.8019,-0.1551,-0.0452,0.0306,-5.0E-4,-4.0E-4,1.0E-4,6.45,-17.03,-29.32,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,39,2022-01-10 18:38:58:661
-0.2602,-0.3263,9.7397,-0.0948,-0.2933,9.8018,-0.1551,-0.0452,0.0306,-5.0E-4,-4.0E-4,1.0E-4,6.15,-17.25,-29.78,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,44,2022-01-10 18:38:58:666
-0.2602,-0.3263,9.7397,-0.0948,-0.2933,9.8018,-0.1551,-0.0452,0.0306,-5.0E-4,-4.0E-4,1.0E-4,6.15,-17.25,-29.78,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,49,2022-01-10 18:38:58:671
-0.2602,-0.3263,9.7397,-0.0948,-0.2933,9.8018,-0.1551,-0.0452,0.0306,-5.0E-4,-4.0E-4,1.0E-4,6.15,-17.25,-29.78,197.88,1.7,0.47,48.84389,2.353348,107.27,NaN,0.0,52.528,,4 / 26,,54,2022-01-10 18:38:58:676
