ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.90349,4.55205,7.8006,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.01225,0.05419,-0.01545,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,9,2022-01-20 17:57:41:876
-1.90349,4.55205,7.8006,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.01225,0.05419,-0.01545,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,15,2022-01-20 17:57:41:882
-1.90349,4.55205,7.8006,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.01225,0.05419,-0.01545,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,19,2022-01-20 17:57:41:886
-1.90349,4.55205,7.8006,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,24,2022-01-20 17:57:41:891
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,29,2022-01-20 17:57:41:896
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,34,2022-01-20 17:57:41:901
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,39,2022-01-20 17:57:41:906
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.425,10.125,-33.45,33.697,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,44,2022-01-20 17:57:41:911
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,49,2022-01-20 17:57:41:916
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,54,2022-01-20 17:57:41:921
-2.45324,4.75095,7.55982,-1.56408,4.84759,8.38003,-0.37214,-0.18883,-0.54558,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,60,2022-01-20 17:57:41:927
-2.45324,4.75095,7.55982,-1.3047,4.73886,8.48595,-0.65779,-0.16943,-0.40451,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,64,2022-01-20 17:57:41:931
-2.45324,4.75095,7.55982,-1.3047,4.73886,8.48595,-0.65779,-0.16943,-0.40451,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,70,2022-01-20 17:57:41:937
-2.45324,4.75095,7.55982,-1.3047,4.73886,8.48595,-0.65779,-0.16943,-0.40451,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,74,2022-01-20 17:57:41:941
-2.45324,4.75095,7.55982,-1.3047,4.73886,8.48595,-0.65779,-0.16943,-0.40451,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,79,2022-01-20 17:57:41:946
-2.77328,4.76172,8.22922,-1.3047,4.73886,8.48595,-0.65779,-0.16943,-0.40451,-0.13582,-0.16951,0.25153,-10.65,10.725,-33.15,34.438,-29.625,10.572,48.843906,2.3532572,108.846,NaN,0.0,10.72,,0 / 18,,84,2022-01-20 17:57:41:951
