ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,13,2022-01-10 16:59:01:140
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,18,2022-01-10 16:59:01:145
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,22,2022-01-10 16:59:01:149
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,28,2022-01-10 16:59:01:155
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,33,2022-01-10 16:59:01:160
-0.637687,2.069193,9.791131,-0.730538,1.875646,9.597846,-0.058631,0.234738,-0.042568,0.069773,-0.107455,-0.016245,67.0,11.625,-2.925,-29.925,288.6884,-11.2989,5.1897,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,38,2022-01-10 16:59:01:165
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,43,2022-01-10 16:59:01:170
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,48,2022-01-10 16:59:01:175
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,53,2022-01-10 16:59:01:180
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,59,2022-01-10 16:59:01:186
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,63,2022-01-10 16:59:01:190
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,68,2022-01-10 16:59:01:195
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,72,2022-01-10 16:59:01:199
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,78,2022-01-10 16:59:01:205
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,83,2022-01-10 16:59:01:210
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,88,2022-01-10 16:59:01:215
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,94,2022-01-10 16:59:01:221
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,98,2022-01-10 16:59:01:225
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,104,2022-01-10 16:59:01:231
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,109,2022-01-10 16:59:01:236
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,113,2022-01-10 16:59:01:240
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,119,2022-01-10 16:59:01:246
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,124,2022-01-10 16:59:01:251
-0.298505,1.986641,9.404391,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,0.069773,-0.107455,-0.016245,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,128,2022-01-10 16:59:01:255
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,134,2022-01-10 16:59:01:261
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,138,2022-01-10 16:59:01:265
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,143,2022-01-10 16:59:01:270
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,148,2022-01-10 16:59:01:275
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,154,2022-01-10 16:59:01:281
-0.051745,2.011766,8.980264,-0.575262,1.915764,9.600485,0.237727,-0.019337,0.063218,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,158,2022-01-10 16:59:01:285
-0.051745,2.011766,8.980264,-0.348431,1.90496,9.613539,0.314918,0.036006,-0.064775,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,163,2022-01-10 16:59:01:290
-0.051745,2.011766,8.980264,-0.348431,1.90496,9.613539,0.314918,0.036006,-0.064775,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,169,2022-01-10 16:59:01:296
-0.051745,2.011766,8.980264,-0.348431,1.90496,9.613539,0.314918,0.036006,-0.064775,-0.034886,-0.20053,-0.197068,67.0,11.025,-2.1,-30.15,294.265,-11.0265,4.3527,5.0,31.81033,48.84391,2.3533595,307.0968,NaN,,37.019352,,0 / 18,174,2022-01-10 16:59:01:301
