ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,8,2022-01-10 17:04:32:537
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,14,2022-01-10 17:04:32:543
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,18,2022-01-10 17:04:32:547
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,24,2022-01-10 17:04:32:553
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,28,2022-01-10 17:04:32:557
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,33,2022-01-10 17:04:32:562
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,39,2022-01-10 17:04:32:568
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,43,2022-01-10 17:04:32:572
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,48,2022-01-10 17:04:32:577
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,53,2022-01-10 17:04:32:582
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,58,2022-01-10 17:04:32:587
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,63,2022-01-10 17:04:32:592
-1.443769,3.120839,9.18156,-1.217486,2.950745,9.272606,-0.175783,0.016177,0.208444,0.006125,-0.03502,0.025033,55.0,18.9,-5.7,-32.4,287.5669,-17.6553,7.441,5.0,26.67864,48.8439,2.3533363,307.0968,NaN,,44.303226,,5 / 17,68,2022-01-10 17:04:32:597
