ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,9,2022-01-10 17:27:00:083
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,13,2022-01-10 17:27:00:087
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,19,2022-01-10 17:27:00:093
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,23,2022-01-10 17:27:00:097
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,29,2022-01-10 17:27:00:103
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,34,2022-01-10 17:27:00:108
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,38,2022-01-10 17:27:00:112
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,44,2022-01-10 17:27:00:118
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,48,2022-01-10 17:27:00:122
-0.479462,1.495514,9.746864,-0.38628,1.432137,9.693821,0.024558,0.132118,0.327302,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,54,2022-01-10 17:27:00:128
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,60,2022-01-10 17:27:00:134
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,64,2022-01-10 17:27:00:138
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,73,2022-01-10 17:27:00:147
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,77,2022-01-10 17:27:00:151
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.111583,-0.023302,-0.013981,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,78,2022-01-10 17:27:00:152
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,90,2022-01-10 17:27:00:164
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,91,2022-01-10 17:27:00:165
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,94,2022-01-10 17:27:00:168
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,98,2022-01-10 17:27:00:172
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.85384,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,104,2022-01-10 17:27:00:178
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,109,2022-01-10 17:27:00:183
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,114,2022-01-10 17:27:00:188
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,119,2022-01-10 17:27:00:193
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,123,2022-01-10 17:27:00:197
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,129,2022-01-10 17:27:00:203
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,133,2022-01-10 17:27:00:207
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,139,2022-01-10 17:27:00:213
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,144,2022-01-10 17:27:00:218
-0.420838,1.484747,9.625728,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,148,2022-01-10 17:27:00:222
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,154,2022-01-10 17:27:00:228
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,159,2022-01-10 17:27:00:233
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,163,2022-01-10 17:27:00:237
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,169,2022-01-10 17:27:00:243
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.425,-26.925,-28.875,194.5882,-8.3974,2.2819,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,174,2022-01-10 17:27:00:248
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,181,2022-01-10 17:27:00:255
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,184,2022-01-10 17:27:00:258
-0.471087,1.416551,9.649655,-0.406042,1.42481,9.694093,-0.034087,0.146487,0.28509,-0.009853,0.01012,-0.038482,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,189,2022-01-10 17:27:00:263
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,-0.009853,0.01012,-0.038482,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,194,2022-01-10 17:27:00:268
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,-0.009853,0.01012,-0.038482,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,198,2022-01-10 17:27:00:272
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,203,2022-01-10 17:27:00:277
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,209,2022-01-10 17:27:00:283
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,214,2022-01-10 17:27:00:288
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,218,2022-01-10 17:27:00:292
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,224,2022-01-10 17:27:00:298
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,229,2022-01-10 17:27:00:303
-0.471087,1.416551,9.649655,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,234,2022-01-10 17:27:00:308
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,239,2022-01-10 17:27:00:313
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,244,2022-01-10 17:27:00:318
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,249,2022-01-10 17:27:00:323
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,254,2022-01-10 17:27:00:328
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,258,2022-01-10 17:27:00:332
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,264,2022-01-10 17:27:00:338
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,270,2022-01-10 17:27:00:344
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,274,2022-01-10 17:27:00:348
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,279,2022-01-10 17:27:00:353
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,284,2022-01-10 17:27:00:358
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,289,2022-01-10 17:27:00:363
-0.546461,1.397109,9.681062,-0.408653,1.422472,9.694326,-0.074746,0.030836,0.209986,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,294,2022-01-10 17:27:00:368
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,302,2022-01-10 17:27:00:376
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,310,2022-01-10 17:27:00:384
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,311,2022-01-10 17:27:00:385
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,314,2022-01-10 17:27:00:388
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,319,2022-01-10 17:27:00:393
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.84384,2.3529906,491.8185,NaN,0.0,24.206451,,8 / 25,324,2022-01-10 17:27:00:398
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.843838,2.3530045,485.9529,NaN,0.0,20.748388,,8 / 25,328,2022-01-10 17:27:00:402
-0.546461,1.397109,9.681062,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.016245,-0.019707,-0.026098,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.843838,2.3530045,485.9529,NaN,0.0,20.748388,,8 / 25,334,2022-01-10 17:27:00:408
-0.514158,1.38036,9.558728,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.023169,0.051131,-0.005326,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.843838,2.3530045,485.9529,NaN,0.0,20.748388,,8 / 25,339,2022-01-10 17:27:00:413
-0.514158,1.38036,9.558728,-0.424494,1.427772,9.692866,-0.044038,0.001866,0.133337,0.023169,0.051131,-0.005326,34.0,7.2,-26.775,-28.5,194.4316,-8.3541,2.3985,1.97,19.91158,48.843838,2.3530045,485.9529,NaN,0.0,20.748388,,8 / 25,344,2022-01-10 17:27:00:418
