ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.025424,-0.278465,9.71815,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.4,-9.3,-32.325,218.8117,1.6092,0.0727,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,10,2022-01-10 17:59:31:574
-0.025424,-0.278465,9.71815,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.4,-9.3,-32.325,218.8117,1.6092,0.0727,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,15,2022-01-10 17:59:31:579
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.4,-9.3,-32.325,218.8117,1.6092,0.0727,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,19,2022-01-10 17:59:31:583
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,25,2022-01-10 17:59:31:589
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,30,2022-01-10 17:59:31:594
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,0.003715,0.00632,-0.011355,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,35,2022-01-10 17:59:31:599
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,39,2022-01-10 17:59:31:603
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,45,2022-01-10 17:59:31:609
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,50,2022-01-10 17:59:31:614
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,55,2022-01-10 17:59:31:619
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,60,2022-01-10 17:59:31:624
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,64,2022-01-10 17:59:31:628
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-9.32E-4,-2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,73,2022-01-10 17:59:31:637
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,75,2022-01-10 17:59:31:639
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,80,2022-01-10 17:59:31:644
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,86,2022-01-10 17:59:31:650
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,90,2022-01-10 17:59:31:654
-0.015852,-0.254537,9.694221,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,95,2022-01-10 17:59:31:659
-0.015852,-0.264108,9.687043,-0.012192,-0.272595,9.802854,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,100,2022-01-10 17:59:31:664
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,105,2022-01-10 17:59:31:669
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,110,2022-01-10 17:59:31:674
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,116,2022-01-10 17:59:31:680
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,120,2022-01-10 17:59:31:684
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,125,2022-01-10 17:59:31:689
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,131,2022-01-10 17:59:31:695
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,136,2022-01-10 17:59:31:700
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,139,2022-01-10 17:59:31:703
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,146,2022-01-10 17:59:31:710
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,150,2022-01-10 17:59:31:714
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,155,2022-01-10 17:59:31:719
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,161,2022-01-10 17:59:31:725
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,5.82E-4,0.003806,-0.00597,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,166,2022-01-10 17:59:31:730
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,3.16E-4,0.006328,-0.004435,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,170,2022-01-10 17:59:31:734
-0.020638,-0.264108,9.687043,-0.0123,-0.271783,9.802876,3.16E-4,0.006328,-0.004435,-3.99E-4,2.66E-4,1.33E-4,33.0,8.775,-9.525,-32.475,219.4577,1.5929,0.0713,1.97,64.6691,48.843857,2.3533845,307.0968,NaN,,37.648388,,0 / 18,176,2022-01-10 17:59:31:740
