ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,27,2022-01-12 09:59:24:812
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,32,2022-01-12 09:59:24:817
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,38,2022-01-12 09:59:24:823
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,42,2022-01-12 09:59:24:827
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,48,2022-01-12 09:59:24:833
-0.4125,1.1686,9.7229,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,52,2022-01-12 09:59:24:837
-0.1274,0.9817,9.5994,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,57,2022-01-12 09:59:24:842
-0.1274,0.9817,9.5994,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,62,2022-01-12 09:59:24:847
-0.1274,0.9817,9.5994,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,67,2022-01-12 09:59:24:852
-0.1274,0.9817,9.5994,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,73,2022-01-12 09:59:24:858
-0.1274,0.9817,9.5994,-0.3426,1.1691,9.7307,-0.1302,-0.0506,0.1768,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,77,2022-01-12 09:59:24:862
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,83,2022-01-12 09:59:24:868
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,88,2022-01-12 09:59:24:873
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,92,2022-01-12 09:59:24:877
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,98,2022-01-12 09:59:24:883
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,102,2022-01-12 09:59:24:887
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,108,2022-01-12 09:59:24:893
-0.1274,0.9817,9.5994,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,30.15,5.85,-27.53,288.63,-7.25,2.69,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,112,2022-01-12 09:59:24:897
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,117,2022-01-12 09:59:24:902
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,122,2022-01-12 09:59:24:907
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.0145,-0.0399,0.067,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,127,2022-01-12 09:59:24:912
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,133,2022-01-12 09:59:24:918
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,137,2022-01-12 09:59:24:922
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,143,2022-01-12 09:59:24:928
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,147,2022-01-12 09:59:24:932
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,152,2022-01-12 09:59:24:937
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,158,2022-01-12 09:59:24:943
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,162,2022-01-12 09:59:24:947
-0.2387,0.8955,10.2006,-0.2557,1.0467,9.7473,0.012,0.074,-0.2004,0.1738,0.1228,0.0658,29.63,6.23,-27.67,287.17,-6.13,1.5,48.843887,2.353319,91.4,NaN,,12.485,,0 / 21,,167,2022-01-12 09:59:24:952
