ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,8,2022-01-20 11:40:08:971
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,14,2022-01-20 11:40:08:977
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,20,2022-01-20 11:40:08:983
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,24,2022-01-20 11:40:08:987
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,29,2022-01-20 11:40:08:992
-1.84128,5.24208,8.58874,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.50106,-0.14034,0.50852,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,34,2022-01-20 11:40:08:997
-3.15404,5.23609,8.74068,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.28628,0.36711,0.71743,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,40,2022-01-20 11:40:09:003
-3.15404,5.23609,8.74068,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.28628,0.36711,0.71743,23.925,-20.4,-9.075,246.594,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,44,2022-01-20 11:40:09:007
-3.15404,5.23609,8.74068,-2.72321,5.1136,7.91237,-0.98058,0.44197,-0.84132,-0.28628,0.36711,0.71743,23.025,-20.7,-9.825,243.836,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,49,2022-01-20 11:40:09:012
-3.15404,5.23609,8.74068,-2.48652,4.99536,8.06437,-0.98058,0.44197,-0.84132,-0.28628,0.36711,0.71743,23.025,-20.7,-9.825,243.836,-31.429,18.992,48.84388,2.3533132,102.823,NaN,0.0,12.864,,4 / 24,,57,2022-01-20 11:40:09:020
