ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4232,9.8127,0.1516,-0.4297,9.7966,0.1104,0.0556,-0.0051,0.0772,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,6,2022-01-12 10:30:30:757
-0.4232,9.8127,0.1516,-0.4297,9.7966,0.1104,0.0556,-0.0051,0.0772,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,10,2022-01-12 10:30:30:761
-0.4232,9.8127,0.1516,-0.4297,9.7966,0.1104,0.0556,-0.0051,0.0772,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,16,2022-01-12 10:30:30:767
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,21,2022-01-12 10:30:30:772
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,29,2022-01-12 10:30:30:780
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,30,2022-01-12 10:30:30:781
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,35,2022-01-12 10:30:30:786
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,40,2022-01-12 10:30:30:791
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,45,2022-01-12 10:30:30:796
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,51,2022-01-12 10:30:30:802
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,56,2022-01-12 10:30:30:807
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,61,2022-01-12 10:30:30:812
-0.434,9.8438,-0.0422,-0.4373,9.7967,0.0569,0.0107,0.0061,-0.0486,0.0407,-0.0036,-0.0028,18.0,-35.03,1.2,340.74,-87.41,75.6,48.84386,2.353353,91.6,NaN,,13.99,,0 / 19,,66,2022-01-12 10:30:30:817
