ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,12,2022-01-12 10:17:31:996
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,18,2022-01-12 10:17:32:002
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,23,2022-01-12 10:17:32:007
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,28,2022-01-12 10:17:32:012
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,33,2022-01-12 10:17:32:017
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,38,2022-01-12 10:17:32:022
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,44,2022-01-12 10:17:32:028
-0.4101,0.1732,9.7122,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.3,-16.05,-37.65,206.04,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,48,2022-01-12 10:17:32:032
-0.3873,0.2043,9.7014,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,9.0E-4,-9.0E-4,-5.0E-4,9.23,-16.05,-37.28,206.16,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,53,2022-01-12 10:17:32:037
-0.3873,0.2043,9.7014,-0.3961,0.1922,9.7968,0.01,0.0062,-0.0054,3.0E-4,-7.0E-4,1.0E-4,9.23,-16.05,-37.28,206.16,-1.12,2.32,48.84384,2.353374,91.6,NaN,,12.961,,0 / 21,,58,2022-01-12 10:17:32:042
