ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0823,0.7229,9.4307,-0.0727,0.7436,9.7781,0.0594,-0.0717,-0.0322,0.0209,-0.0044,0.014,12.6,-0.75,-39.53,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,22,2022-01-10 19:18:43:785
0.1277,0.7493,9.3562,-0.0727,0.7436,9.7781,0.1949,-0.0026,-0.2963,0.0209,-0.0044,0.014,12.6,-0.75,-39.53,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,25,2022-01-10 19:18:43:788
0.1277,0.7493,9.3562,-0.0671,0.7429,9.7782,0.1949,-0.0026,-0.2963,0.0209,-0.0044,0.014,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,31,2022-01-10 19:18:43:794
0.1277,0.7493,9.3562,-0.0671,0.7429,9.7782,0.1949,-0.0026,-0.2963,-0.0696,0.019,-0.0084,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,36,2022-01-10 19:18:43:799
0.1277,0.7493,9.3562,-0.0671,0.7429,9.7782,0.1949,-0.0026,-0.2963,-0.0696,0.019,-0.0084,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,40,2022-01-10 19:18:43:803
0.1277,0.7493,9.3562,-0.0671,0.7429,9.7782,0.1949,-0.0026,-0.2963,-0.0696,0.019,-0.0084,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,45,2022-01-10 19:18:43:808
-0.0541,0.6344,9.7517,-0.0671,0.7429,9.7782,0.103,-0.0295,-0.023,-0.0696,0.019,-0.0084,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,51,2022-01-10 19:18:43:814
-0.0541,0.6344,9.7517,-0.0671,0.7429,9.7782,0.103,-0.0295,-0.023,-0.0696,0.019,-0.0084,13.05,-0.53,-39.45,279.18,-4.35,0.49,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,56,2022-01-10 19:18:43:819
-0.0541,0.6344,9.7517,-0.0671,0.7429,9.7782,0.103,-0.0295,-0.023,-0.0696,0.019,-0.0084,13.13,-0.53,-39.53,279.11,-4.34,0.39,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,60,2022-01-10 19:18:43:823
-0.0541,0.6344,9.7517,-0.0631,0.717,9.7802,0.103,-0.0295,-0.023,-0.0696,0.019,-0.0084,13.13,-0.53,-39.53,279.11,-4.34,0.39,48.8439,2.353333,95.7,NaN,,12.497,,0 / 19,,65,2022-01-10 19:18:43:828
