ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,17,2022-01-11 15:00:26:824
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,22,2022-01-11 15:00:26:829
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,26,2022-01-11 15:00:26:833
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,32,2022-01-11 15:00:26:839
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,37,2022-01-11 15:00:26:844
0.16,0.7911,9.1887,-0.5525,0.6516,9.7694,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,41,2022-01-11 15:00:26:848
-0.7908,0.9434,9.6679,-0.8608,0.941,9.7234,-0.1791,0.1939,0.5447,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,47,2022-01-11 15:00:26:854
-0.7908,0.9434,9.6679,-0.8608,0.941,9.7234,0.6468,-0.5265,-0.0299,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,52,2022-01-11 15:00:26:859
-0.7908,0.9434,9.6679,-0.8608,0.941,9.7234,0.6468,-0.5265,-0.0299,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,58,2022-01-11 15:00:26:865
-0.7908,0.9434,9.6679,-0.8608,0.941,9.7234,0.6468,-0.5265,-0.0299,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,62,2022-01-11 15:00:26:869
-0.7908,0.9434,9.6679,-0.8608,0.941,9.7234,0.6468,-0.5265,-0.0299,0.3214,0.3168,-0.3065,15.98,-1.57,-38.62,272.71,-3.81,3.24,48.843887,2.353351,95.2,NaN,,11.476,,0 / 20,,68,2022-01-11 15:00:26:875
