ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5285,1.2906,9.4834,-0.5077,1.2037,9.7192,-0.0716,-0.1489,-0.3173,0.0294,0.0819,-0.1875,20.1,-2.62,-47.62,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,21,2022-01-10 18:59:30:814
-0.5285,1.2906,9.4834,-0.5077,1.2037,9.7192,-0.0716,-0.1489,-0.3173,0.0294,0.0819,-0.1875,20.1,-2.62,-47.62,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,26,2022-01-10 18:59:30:819
-0.5285,1.2906,9.4834,-0.5077,1.2037,9.7192,0.0882,0.1397,-0.2553,0.0294,0.0819,-0.1875,20.1,-2.62,-47.62,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,31,2022-01-10 18:59:30:824
-0.5285,1.2906,9.4834,-0.5077,1.2037,9.7192,0.0882,0.1397,-0.2553,0.0294,0.0819,-0.1875,20.1,-2.62,-47.62,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,36,2022-01-10 18:59:30:829
-0.5285,1.2906,9.4834,-0.5077,1.2037,9.7192,0.0882,0.1397,-0.2553,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,40,2022-01-10 18:59:30:833
-0.6413,1.3744,9.3395,-0.5968,1.2085,9.7136,0.0882,0.1397,-0.2553,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,46,2022-01-10 18:59:30:839
-0.6413,1.3744,9.3395,-0.5968,1.2085,9.7136,0.0882,0.1397,-0.2553,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,51,2022-01-10 18:59:30:844
-0.6413,1.3744,9.3395,-0.5968,1.2085,9.7136,0.0882,0.1397,-0.2553,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,55,2022-01-10 18:59:30:848
-0.6413,1.3744,9.3395,-0.5968,1.2085,9.7136,-0.1344,0.0956,-0.2732,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,61,2022-01-10 18:59:30:854
-0.6413,1.3744,9.3395,-0.5968,1.2085,9.7136,-0.1344,0.0956,-0.2732,-0.0292,0.3205,-0.1363,19.88,-3.22,-48.3,279.69,-7.0,2.92,48.843918,2.353316,95.2,NaN,,11.48,,0 / 20,,65,2022-01-10 18:59:30:858
