ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7394,0.7277,9.7349,-0.5724,0.6739,9.7667,-0.1667,-0.0044,0.1577,-0.0356,0.0052,-0.0425,15.6,0.45,-40.12,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,16,2022-01-10 19:24:25:314
-0.7394,0.7277,9.7349,-0.5724,0.6739,9.7667,-0.2279,0.0711,0.0062,-0.0356,0.0052,-0.0425,15.6,0.45,-40.12,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,22,2022-01-10 19:24:25:320
-0.7394,0.7277,9.7349,-0.5724,0.6739,9.7667,-0.2279,0.0711,0.0062,-0.0356,0.0052,-0.0425,15.6,0.45,-40.12,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,26,2022-01-10 19:24:25:324
-0.7011,0.7205,9.6799,-0.5724,0.6739,9.7667,-0.2279,0.0711,0.0062,-0.0356,0.0052,-0.0425,15.6,0.45,-40.12,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,32,2022-01-10 19:24:25:330
-0.7011,0.7205,9.6799,-0.5724,0.6739,9.7667,-0.2279,0.0711,0.0062,-0.076,0.0105,-0.0148,15.6,0.45,-40.12,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,37,2022-01-10 19:24:25:335
-0.7011,0.7205,9.6799,-0.5724,0.6739,9.7667,-0.2279,0.0711,0.0062,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,41,2022-01-10 19:24:25:339
-0.7011,0.7205,9.6799,-0.5898,0.6587,9.7667,-0.2279,0.0711,0.0062,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,47,2022-01-10 19:24:25:345
-0.7011,0.7205,9.6799,-0.5898,0.6587,9.7667,-0.1029,0.1329,-0.0114,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,52,2022-01-10 19:24:25:350
-0.6389,0.7516,9.6966,-0.5898,0.6587,9.7667,-0.1029,0.1329,-0.0114,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,57,2022-01-10 19:24:25:355
-0.6389,0.7516,9.6966,-0.5898,0.6587,9.7667,-0.1029,0.1329,-0.0114,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,63,2022-01-10 19:24:25:361
-0.6389,0.7516,9.6966,-0.5898,0.6587,9.7667,-0.1029,0.1329,-0.0114,-0.076,0.0105,-0.0148,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,67,2022-01-10 19:24:25:365
-0.6389,0.7516,9.6966,-0.5898,0.6587,9.7667,-0.1029,0.1329,-0.0114,-0.0654,0.0095,-0.0201,15.38,1.05,-40.2,281.7,-3.98,3.25,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,72,2022-01-10 19:24:25:370
-0.6389,0.7516,9.6966,-0.5916,0.6425,9.7677,-0.1029,0.1329,-0.0114,-0.0654,0.0095,-0.0201,14.93,1.2,-40.43,286.58,-3.85,3.46,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,77,2022-01-10 19:24:25:375
-0.6389,0.7516,9.6966,-0.5916,0.6425,9.7677,0.0323,0.011,0.04,-0.0654,0.0095,-0.0201,14.93,1.2,-40.43,286.58,-3.85,3.46,48.843895,2.353354,95.2,NaN,,12.854,,0 / 20,,81,2022-01-10 19:24:25:379
-0.5261,0.6105,9.6727,-0.5916,0.6425,9.7677,0.0323,0.011,0.04,-0.0654,0.0095,-0.0201,14.93,1.2,-40.43,286.58,-3.85,3.46,48.843895,2.353354,95.2,NaN,,12.854,,0 / 28,,86,2022-01-10 19:24:25:384
-0.5261,0.6105,9.6727,-0.5916,0.6425,9.7677,0.0323,0.011,0.04,-0.0654,0.0095,-0.0201,14.93,1.2,-40.43,286.58,-3.85,3.46,48.843895,2.353354,95.2,NaN,,12.854,,0 / 28,,91,2022-01-10 19:24:25:389
-0.5261,0.6105,9.6727,-0.5916,0.6425,9.7677,0.0323,0.011,0.04,-0.0654,0.0095,-0.0201,14.93,1.2,-40.43,286.58,-3.85,3.46,48.843895,2.353354,95.2,NaN,,12.854,,0 / 28,,96,2022-01-10 19:24:25:394
