ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7107,1.7411,9.6174,-0.4952,1.6313,9.6573,-0.2234,0.1051,0.0652,-0.0345,-0.0087,0.0012,17.48,-10.72,-40.43,256.35,-9.61,2.91,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,27,2022-01-10 18:49:14:462
-0.7107,1.7411,9.6174,-0.4952,1.6313,9.6573,-0.2234,0.1051,0.0652,-0.0345,-0.0087,0.0012,17.48,-10.72,-40.43,256.35,-9.61,2.91,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,32,2022-01-10 18:49:14:467
-0.6317,1.7363,9.7229,-0.4952,1.6313,9.6573,-0.2234,0.1051,0.0652,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.43,256.35,-9.61,2.91,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,38,2022-01-10 18:49:14:473
-0.6317,1.7363,9.7229,-0.4952,1.6313,9.6573,-0.2234,0.1051,0.0652,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.43,256.35,-9.61,2.91,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,43,2022-01-10 18:49:14:478
-0.6317,1.7363,9.7229,-0.5048,1.6325,9.6566,-0.2234,0.1051,0.0652,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.43,256.35,-9.61,2.91,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,48,2022-01-10 18:49:14:483
-0.6317,1.7363,9.7229,-0.5048,1.6325,9.6566,-0.1903,0.0473,0.0827,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.5,254.79,-9.58,2.99,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,53,2022-01-10 18:49:14:488
-0.6317,1.7363,9.7229,-0.5048,1.6325,9.6566,-0.1903,0.0473,0.0827,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.5,254.79,-9.58,2.99,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,57,2022-01-10 18:49:14:492
-0.6317,1.7363,9.7229,-0.5048,1.6325,9.6566,-0.1903,0.0473,0.0827,-0.0068,-0.0065,0.0129,17.48,-10.72,-40.5,254.79,-9.58,2.99,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,62,2022-01-10 18:49:14:497
-0.5764,1.657,9.5121,-0.5048,1.6325,9.6566,-0.1903,0.0473,0.0827,0.0134,-0.0822,0.0033,17.48,-10.72,-40.5,254.79,-9.58,2.99,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,68,2022-01-10 18:49:14:503
-0.5764,1.657,9.5121,-0.5048,1.6325,9.6566,-0.1903,0.0473,0.0827,0.0134,-0.0822,0.0033,17.48,-10.72,-40.5,254.79,-9.58,2.99,48.843872,2.353375,94.3,NaN,,15.06,,0 / 26,,73,2022-01-10 18:49:14:508
