ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.6,-27.67,-23.1,280.08,-56.28,-0.59,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,22,2022-01-12 10:13:07:133
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.6,-27.67,-23.1,280.08,-56.28,-0.59,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,27,2022-01-12 10:13:07:138
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.6,-27.67,-23.1,280.08,-56.28,-0.59,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,32,2022-01-12 10:13:07:143
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,37,2022-01-12 10:13:07:148
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,42,2022-01-12 10:13:07:153
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,49,2022-01-12 10:13:07:160
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,51,2022-01-12 10:13:07:162
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,57,2022-01-12 10:13:07:168
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,62,2022-01-12 10:13:07:173
-0.1561,9.204,4.3343,-0.0895,8.7656,4.3962,-0.0297,-0.2373,1.4122,1.1536,0.1794,-0.1569,18.15,-30.67,-20.92,286.47,-63.36,1.17,48.84388,2.353328,91.4,NaN,,11.998,,0 / 29,,67,2022-01-12 10:13:07:178
