ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.332,9.6604,1.8861,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0217,0.0157,-0.0168,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,11,2022-01-11 15:48:29:799
-0.332,9.6604,1.8861,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0217,0.0157,-0.0168,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,15,2022-01-11 15:48:29:803
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0217,0.0157,-0.0168,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,20,2022-01-11 15:48:29:808
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0217,0.0157,-0.0168,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,25,2022-01-11 15:48:29:813
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0217,0.0157,-0.0168,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,30,2022-01-11 15:48:29:818
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0344,-0.0182,-0.0209,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,35,2022-01-11 15:48:29:823
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0344,-0.0182,-0.0209,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,41,2022-01-11 15:48:29:829
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0344,-0.0182,-0.0209,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,46,2022-01-11 15:48:29:834
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0344,-0.0182,-0.0209,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,51,2022-01-11 15:48:29:839
-0.3272,9.5647,1.9699,-0.3131,9.6305,1.8235,-0.0576,0.0342,-0.1071,-0.0344,-0.0182,-0.0209,22.65,-41.7,-11.17,287.46,-79.24,9.53,48.84391,2.353356,94.3,NaN,,11.892,,0 / 20,,55,2022-01-11 15:48:29:843
