elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed
0.0,0,0.0,0.232553577412701,27.282715,1,0,1871.0,436.0,-926.0,0.0,0.0,0.0
0.001,0,0.0,0.232553577412701,4.272461,1,0,1871.0,436.0,-926.0,0.0,0.0,0.0
0.02,0,0.0,0.232553577412701,4.272461,0,0,1871.0,436.0,-926.0,0.0,0.0,0.0
0.046,0,-0.03466584469598771,0.232553577412701,4.638672000000003,1,0,1871.0,436.0,-926.0,0.0,0.0,0.0
0.048,0,0.1731904518388108,0.232553577412701,4.638672000000003,0,0,1871.0,436.0,-926.0,0.0,0.0,0.0
0.054,0,0.1731904518388108,0.232553577412701,4.638672000000003,0,0,1898.0,439.0,-922.0,0.027,0.054,0.0
0.091,0,0.1731904518388108,0.232553577412701,0.6713859999999983,1,0,1898.0,439.0,-922.0,0.0,0.054,0.0
0.092,0,0.232553577412701,0.232553577412701,0.6713859999999983,0,0,1898.0,439.0,-922.0,0.0,0.054,0.0
0.129,1,0.232553577412701,0.4861039754645183,0.6713859999999983,0,0,1899.0,437.0,-922.0,0.002,0.075,0.8093
0.132,1,0.232553577412701,0.4861039754645183,0.6713859999999983,0,0,1899.0,437.0,-922.0,0.0,0.075,0.8093
0.181,1,0.4861039754645183,0.4861039754645183,0.6713859999999983,0,1,1899.0,437.0,-922.0,0.0,0.075,0.8093
0.207,1,0.4861039754645183,0.4861039754645183,0.6713859999999983,0,1,1899.0,437.0,-922.0,0.0,0.075,0.8093
0.226,1,0.4861039754645183,0.4861039754645183,5.920411000000001,1,1,1899.0,437.0,-922.0,0.0,0.075,0.8093
0.228,1,0.4366925350092543,0.4861039754645183,16.601561999999994,1,1,1899.0,437.0,-922.0,0.0,0.075,0.8093
0.242,2,0.4366925350092543,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.028,0.113,0.892
0.271,2,0.26364597912268106,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.272,2,0.26364597912268106,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.315,2,0.26364597912268106,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.316,2,0.16962285756003959,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.318,2,0.16962285756003959,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.321,2,0.16962285756003959,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0,0.0,0.113,0.892
0.354,3,0.16962285756003959,0.354682154395108,16.601561999999994,0,1,1937.0,414.0,-933.0,0.019,0.112,0.6107
0.361,3,0.16962285756003959,0.354682154395108,16.601561999999994,0,0,1937.0,414.0,-933.0,0.0,0.112,0.6107
0.406,3,0.1792945167063678,0.354682154395108,16.601561999999994,0,0,1937.0,414.0,-933.0,0.0,0.112,0.6107
0.429,3,0.1792945167063678,0.354682154395108,16.601561999999994,0,0,1966.0,429.0,-922.0,0.033,0.075,0.6107
0.433,3,0.1792945167063678,0.354682154395108,16.601561999999994,0,0,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.451,3,0.05984555170603989,0.354682154395108,16.601561999999994,0,0,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.452,3,0.05984555170603989,0.354682154395108,13.061523000000001,1,1,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.496,3,0.354682154395108,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.499,3,0.354682154395108,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.508,3,0.354682154395108,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0,0.0,0.075,0.6107
0.541,4,0.3647033910006277,0.3647033910006277,13.061523000000001,0,1,1966.0,399.0,-818.0,0.03,0.112,1.2128
0.585,4,0.046070874458129796,0.3647033910006277,13.061523000000001,0,1,1966.0,399.0,-818.0,0.0,0.112,1.2128
0.586,4,0.046070874458129796,0.3647033910006277,13.061523000000001,0,1,1966.0,399.0,-818.0,0.0,0.112,1.2128
0.62,4,0.046070874458129796,0.3647033910006277,13.061523000000001,0,1,1966.0,399.0,-818.0,0.0,0.112,1.2128
0.632,4,0.3256584195873231,0.3647033910006277,13.061523000000001,0,0,1966.0,399.0,-818.0,0.0,0.112,1.2128
0.633,4,0.3256584195873231,0.3647033910006277,13.061523000000001,0,0,1966.0,399.0,-818.0,0.0,0.112,1.2128
0.654,5,0.3256584195873231,0.34095745592209736,13.061523000000001,0,1,1954.0,425.0,-842.0,0.029,0.113,0.9239
0.676,5,0.05169229306572319,0.34095745592209736,13.061523000000001,0,1,1954.0,425.0,-842.0,0.0,0.113,0.9239
0.72,5,0.34095745592209736,0.34095745592209736,13.061523000000001,0,1,1954.0,425.0,-842.0,0.0,0.113,0.9239
0.721,5,0.34095745592209736,0.34095745592209736,13.061523000000001,0,1,1954.0,425.0,-842.0,0.0,0.113,0.9239
0.733,5,0.34095745592209736,0.34095745592209736,13.061523000000001,0,1,1954.0,425.0,-842.0,0.0,0.113,0.9239
0.766,6,0.34095745592209736,0.34095745592209736,13.061523000000001,0,1,1918.0,418.0,-814.0,0.037,0.112,1.1893
0.767,6,0.233201867198122,0.34095745592209736,13.061523000000001,0,1,1918.0,418.0,-814.0,0.0,0.112,1.1893
