elapsed_time,movement_counter,adjusted_acceleration,max_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z,ball_distance_traveled,movement_time,speed,is_goal
0.0,0,0.0,2.946916691686089,15.014648,1,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.001,0,0.0144686437031502,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.001,0,0.030024258850651898,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.024,0,0.0429585867855795,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.025,0,0.0374716885495404,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.025,0,0.0421528875827461,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.069,0,0.044662569221309095,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.07,0,0.0325396952601452,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.071,0,0.0273974542246733,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.114,0,0.018266453156410997,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.115,0,0.015462509802080998,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.115,0,0.0232131169356132,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.16,0,0.0301786885186842,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.16,0,0.0522720955496455,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.16,0,0.051531780219549295,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.205,0,0.0478851256426755,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.205,0,0.037676724798062,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.205,0,0.0338613533859295,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.25,0,0.0391807082410251,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.25,0,-0.0030077220431631024,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.25,0,-0.0025435535838237017,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.295,0,-0.00042661325074920195,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.296,0,0.0218306238537287,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.296,0,0.025808006013846498,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.34,0,0.0271928210898147,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.34,0,-0.010889541118906502,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.341,0,-0.0117689674563605,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.385,0,-0.004967532450173701,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.386,0,0.0176815110691585,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.386,0,0.0016261140991644003,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.43,0,-0.0032999923752737997,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.431,0,0.016983511315191498,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.431,0,0.0392267477599192,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.475,0,0.0506831628813954,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
0.475,0,0.0404118330825811,2.946916691686089,15.014648,0,0,778.0,1730.0,-541.0,0.0,0.0,0.0,0
