elapsed_time,adjusted_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z
0.0,0.0,27.282715,1,0,1871.0,436.0,-926.0
0.001,0.0,4.272461,1,0,1871.0,436.0,-926.0
0.02,0.0,4.272461,0,0,1871.0,436.0,-926.0
0.046,-0.03466584469598771,4.638672000000003,1,0,1871.0,436.0,-926.0
0.048,0.1731904518388108,4.638672000000003,0,0,1871.0,436.0,-926.0
0.054,0.1731904518388108,4.638672000000003,0,0,1898.0,439.0,-922.0
0.091,0.1731904518388108,0.6713859999999983,1,0,1898.0,439.0,-922.0
0.092,0.232553577412701,0.6713859999999983,0,0,1898.0,439.0,-922.0
0.129,0.232553577412701,0.6713859999999983,0,0,1899.0,437.0,-922.0
0.132,0.232553577412701,0.6713859999999983,0,0,1899.0,437.0,-922.0
0.181,0.4861039754645183,0.6713859999999983,0,1,1899.0,437.0,-922.0
0.207,0.4861039754645183,0.6713859999999983,0,1,1899.0,437.0,-922.0
0.226,0.4861039754645183,5.920411000000001,1,1,1899.0,437.0,-922.0
0.228,0.4366925350092543,16.601561999999994,1,1,1899.0,437.0,-922.0
0.242,0.4366925350092543,16.601561999999994,0,1,1926.0,430.0,-953.0
0.271,0.26364597912268106,16.601561999999994,0,1,1926.0,430.0,-953.0
0.272,0.26364597912268106,16.601561999999994,0,1,1926.0,430.0,-953.0
0.315,0.26364597912268106,16.601561999999994,0,1,1926.0,430.0,-953.0
0.316,0.16962285756003959,16.601561999999994,0,1,1926.0,430.0,-953.0
0.318,0.16962285756003959,16.601561999999994,0,1,1926.0,430.0,-953.0
0.321,0.16962285756003959,16.601561999999994,0,1,1926.0,430.0,-953.0
0.354,0.16962285756003959,16.601561999999994,0,1,1937.0,414.0,-933.0
0.361,0.16962285756003959,16.601561999999994,0,0,1937.0,414.0,-933.0
0.406,0.1792945167063678,16.601561999999994,0,0,1937.0,414.0,-933.0
0.429,0.1792945167063678,16.601561999999994,0,0,1966.0,429.0,-922.0
0.433,0.1792945167063678,16.601561999999994,0,0,1966.0,429.0,-922.0
0.451,0.05984555170603989,16.601561999999994,0,0,1966.0,429.0,-922.0
0.452,0.05984555170603989,13.061523000000001,1,1,1966.0,429.0,-922.0
0.496,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0
0.499,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0
0.508,0.354682154395108,13.061523000000001,0,1,1966.0,429.0,-922.0
0.541,0.3647033910006277,13.061523000000001,0,1,1966.0,399.0,-818.0
0.585,0.046070874458129796,13.061523000000001,0,1,1966.0,399.0,-818.0
