elapsed_time,adjusted_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z
0.0,0.0,0.793457,1,0,3657.0,3541.0,1317.0
0.0,0.002306133611091601,0.793457,0,0,3657.0,3541.0,1317.0
0.0,0.0015093876786092999,0.793457,0,0,3657.0,3541.0,1317.0
0.029,0.001473818295789001,0.793457,0,0,3657.0,3541.0,1317.0
0.03,0.0013437576355316994,0.793457,0,0,3657.0,3541.0,1317.0
0.03,0.0006786805716490017,0.793457,0,0,3657.0,3541.0,1317.0
0.074,0.0017540264023569018,0.793457,0,0,3657.0,3541.0,1317.0
0.074,-0.0008023090970352992,0.793457,0,0,3657.0,3541.0,1317.0
0.075,-0.0006398121157904987,0.793457,0,0,3657.0,3541.0,1317.0
0.119,-0.0003785227754457988,0.793457,0,0,3657.0,3541.0,1317.0
0.119,-0.0004056677899194998,0.793457,0,0,3657.0,3541.0,1317.0
0.12,-0.0008997241320327989,0.793457,0,0,3657.0,3541.0,1317.0
0.164,-0.002520004997633699,0.793457,0,0,3657.0,3541.0,1317.0
0.165,-0.0007377880333070998,0.793457,0,0,3657.0,3541.0,1317.0
0.165,-0.002535876780734199,0.793457,0,0,3657.0,3541.0,1317.0
0.209,-0.0011696937308956993,0.793457,0,0,3657.0,3541.0,1317.0
0.21,5.5711752361900166e-05,0.793457,0,0,3657.0,3541.0,1317.0
0.21,0.0002215485982074005,0.793457,0,0,3657.0,3541.0,1317.0
0.254,0.0009621110292528014,0.793457,0,0,3657.0,3541.0,1317.0
0.254,0.0004003771471420992,0.793457,0,0,3657.0,3541.0,1317.0
0.255,0.001393504104859002,0.793457,0,0,3657.0,3541.0,1317.0
0.299,0.0019250719487955998,0.793457,0,0,3657.0,3541.0,1317.0
0.3,0.0010876230609120994,0.793457,0,0,3657.0,3541.0,1317.0
0.3,0.0006073989124055993,0.793457,0,0,3657.0,3541.0,1317.0
0.344,0.0009707706334130001,0.793457,0,0,3657.0,3541.0,1317.0
0.344,-0.0008208504068223984,0.793457,0,0,3657.0,3541.0,1317.0
0.345,-0.0013200899490904989,0.793457,0,0,3657.0,3541.0,1317.0
0.39,-0.00020717058348479998,0.793457,0,0,3657.0,3541.0,1317.0
0.39,-0.001614067952470299,0.793457,0,0,3657.0,3541.0,1317.0
0.39,-0.0029604867637094984,0.793457,0,0,3657.0,3541.0,1317.0
0.434,-0.0011904077407177988,0.793457,0,0,3657.0,3541.0,1317.0
0.434,-0.0006894580336195,0.793457,0,0,3657.0,3541.0,1317.0
0.435,0.0009548123752395003,0.793457,0,0,3657.0,3541.0,1317.0
0.479,0.0005957213697181992,0.793457,0,0,3657.0,3541.0,1317.0
0.479,0.0016560241744739013,0.793457,0,0,3657.0,3541.0,1317.0
