elapsed_time,adjusted_acceleration,adjusted_spin,direction_change,direction_change_signal,ball_pos_x,ball_pos_y,ball_pos_z
0.0,0.0,1.586914,1,0,1763.0,330.0,-1809.0
0.042,0.0,1.586914,0,0,1763.0,330.0,-1809.0
0.043,0.0014439820482206002,1.586914,0,0,1763.0,330.0,-1809.0
0.087,-0.00037440527951189997,1.586914,0,0,1763.0,330.0,-1809.0
0.088,-0.00037440527951189997,0.12207000000000012,1,0,1763.0,330.0,-1809.0
0.116,-0.00037440527951189997,0.12207000000000012,0,0,1791.0,340.0,-1779.0
0.12,-0.00037440527951189997,0.12207000000000012,0,0,1791.0,340.0,-1779.0
0.131,-0.00037440527951189997,0.12207000000000012,0,0,1791.0,340.0,-1779.0
0.132,-0.0004626964016012,0.12207000000000012,0,0,1791.0,340.0,-1779.0
0.176,-0.0004626964016012,0.12207000000000012,0,0,1791.0,340.0,-1779.0
0.177,-3.6261591919499984e-05,0.24414099999999994,1,1,1791.0,340.0,-1779.0
0.189,-3.6261591919499984e-05,0.24414099999999994,0,1,1818.0,354.0,-1745.0
0.222,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.229,0.0006302081679015999,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.266,-0.0004897322525705,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.267,-0.0004897322525705,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.27,-0.0004897322525705,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.311,-6.749827684239998e-05,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.312,-6.749827684239998e-05,0.24414099999999994,0,0,1818.0,354.0,-1745.0
0.336,-6.749827684239998e-05,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.356,-0.00024911355063499997,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.357,-0.00024911355063499997,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.376,-0.00024911355063499997,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.401,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.402,0.00029822331429040004,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.491,8.084430034457235e-05,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.492,8.084430034457235e-05,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.493,0.0001816147234854003,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.494,0.0001816147234854003,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.536,0.0001816147234854003,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.537,-0.000175115825464,0.24414099999999994,0,0,1840.0,339.0,-1719.0
0.562,-0.000175115825464,0.24414099999999994,0,0,1846.0,342.0,-1709.0
0.569,-0.000175115825464,0.24414099999999994,0,0,1846.0,342.0,-1709.0
0.581,-0.000175115825464,0.24414099999999994,0,0,1846.0,342.0,-1709.0
