network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
170678879585754.0,01:05:09CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217,3.821,4.502,0.0,0
170678963666944.0,01:05:09CE,1.15081216,-0.10223616,-0.205520896,-0.20381696,0.37945344,-0.13828096,0.0,0.0,0.0,0.552699501,0.299117912,0.810496699,-0.317912469,10.217,3.821,4.502,0.0,8.408119e-05
170679282434048.0,01:05:09CE,1.13639424,-0.086704128,-0.223674368,-0.1900544,0.35848192,-0.18743296,0.0,0.0,0.0,0.554575121,0.29890671,0.809563224,-0.317222479,10.217,3.821,4.502,0.0,0.000318767104
170679518571265.0,01:05:09CE,-0.065929216,0.02719744,-1.108672512,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015186199,0.706229764,0.808081974,0.030560213,10.217,3.82,4.503,0.0,0.000236137217
170679601201152.0,01:05:09CE,1.12099328,-0.0671744,-0.243662848,-0.17956864,0.33554432,-0.23461888,0.0,0.0,0.0,0.556394749,0.29892328,0.80863044,-0.316398596,2.343,2.885,6.165,0.0,8.2629887e-05
170679919968256.0,01:05:09CE,1.104478208,-0.04620288,-0.262340608,-0.17170432,0.31260672,-0.27066368,0.0,0.0,0.0,0.558147236,0.299129365,0.807716122,-0.315451194,2.343,2.885,6.165,0.0,0.000318767104
170680157528948.0,01:05:09CE,-0.06619136,0.026935296,-1.109131264,0.01179648,0.00589824,0.0131072,0.0,0.0,0.0,-0.015188791,0.70623118,0.808080663,0.030560866,10.221,3.818,4.504,0.0,0.000237560692
170680238735360.0,01:05:09CE,1.087111168,-0.028114944,-0.280625152,-0.16252928,0.28573696,-0.29425664,0.0,0.0,0.0,0.559804372,0.299492661,0.806841136,-0.314407527,2.341,2.886,6.167,0.0,8.1206412e-05
170680557502464.0,01:05:09CE,1.071775744,-0.012255232,-0.298385408,-0.1540096,0.25690112,-0.30277632,0.0,0.0,0.0,0.561339787,0.299961279,0.806029949,-0.313301927,2.341,2.886,6.167,0.0,0.000318767104
170680796517261.0,01:05:09CE,-0.065994752,0.027066368,-1.108672512,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015189787,0.706228326,0.808083015,0.030564138,10.222,3.817,4.505,0.0,0.000239014797
