network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
170678838580246,01:05:09FB,0,0,0,0,0,0,0,0,0,0,0,0,0,11.247,5.712,6.208,0,0
170679081107456.0,01:05:09FB,0.92864512,0.308150272,-0.476643328,-0.00131072,-0.28639232,-0.13959168,0.0,0.0,0.0,0.369561772,0.843795301,0.332879128,-0.439939288,10.217,3.821,4.502,0.0,0.00024252721
170679399874560.0,01:05:09FB,0.921501696,0.310444032,-0.471924736,-0.00131072,-0.28442624,-0.13500416,0.0,0.0,0.0,0.369561772,0.843795301,0.332879128,-0.439939288,10.217,3.821,4.502,0.0,0.000318767104
170678762340352.0,01:05:09FB,0.921501696,0.310444032,-0.471924736,-0.00131072,-0.28442624,-0.13500416,0.0,0.0,0.0,0.369849302,0.843037875,0.332957026,-0.441089286,10.217,3.821,4.502,0.0,-0.000637534208
170679477532416.0,01:05:09FB,-0.065929216,0.02719744,-1.108672512,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015186199,0.706229764,0.808081974,0.030560213,11.244,5.712,6.209,0.0,0.000715192064
170679718641664.0,01:05:09FB,0.916979712,0.313720832,-0.469762048,0.01245184,-0.2850816,-0.13565952,0.0,0.0,0.0,0.368985859,0.845291492,0.33273219,-0.437655713,2.343,2.885,6.165,0.0,0.000241109248
170680037408768.0,01:05:09FB,0.917110784,0.319225856,-0.473890816,-0.00131072,-0.28639232,-0.13828096,0.0,0.0,0.0,0.368985859,0.845291492,0.33273219,-0.437655713,2.343,2.885,6.165,0.0,0.000318767104
170679399874560.0,01:05:09FB,0.917110784,0.319225856,-0.473890816,-0.00131072,-0.28639232,-0.13828096,0.0,0.0,0.0,0.369272115,0.84454348,0.332810044,-0.438797668,2.343,2.885,6.165,0.0,-0.000637534208
170680116500128.0,01:05:09FB,-0.06619136,0.026935296,-1.109131264,0.01179648,0.00589824,0.0131072,0.0,0.0,0.0,-0.015188791,0.70623118,0.808080663,0.030560866,11.243,5.711,6.21,0.0,0.000716625568
170680356175872.0,01:05:09FB,0.91783168,0.322174976,-0.4800512,-0.00196608,-0.28573696,-0.13697024,0.0,0.0,0.0,0.368445805,0.846785578,0.332558077,-0.435348711,2.341,2.886,6.167,0.0,0.000239675744
170680674942976.0,01:05:09FB,0.9158656,0.320405504,-0.482476032,-0.00065536,-0.2850816,-0.131072,0.0,0.0,0.0,0.368445805,0.846785578,0.332558077,-0.435348711,2.341,2.886,6.167,0.0,0.000318767104
170680037408768.0,01:05:09FB,0.9158656,0.320405504,-0.482476032,-0.00065536,-0.2850816,-0.131072,0.0,0.0,0.0,0.368713568,0.846040316,0.332644819,-0.43650317,2.341,2.886,6.167,0.0,-0.000637534208
170680755480524.0,01:05:09FB,-0.065994752,0.027066368,-1.108672512,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015189787,0.706228326,0.808083015,0.030564138,11.243,5.708,6.21,0.0,0.000718071756
170680993710080.0,01:05:09FB,0.911474688,0.315949056,-0.482279424,0.00065536,-0.2850816,-0.12648448,0.0,0.0,0.0,0.367862406,0.84825833,0.332432207,-0.433065108,2.343,2.884,6.167,0.0,0.000238229556
170681312477184.0,01:05:09FB,0.905117696,0.312147968,-0.482607104,0.00065536,-0.28639232,-0.12582912,0.0,0.0,0.0,0.367862406,0.84825833,0.332432207,-0.433065108,2.343,2.884,6.167,0.0,0.000318767104
170680674942976.0,01:05:09FB,0.905117696,0.312147968,-0.482607104,0.00065536,-0.28639232,-0.12582912,0.0,0.0,0.0,0.368162495,0.84752487,0.332487463,-0.434202211,2.343,2.884,6.167,0.0,-0.000637534208
170681394448825.0,01:05:09FB,-0.065732608,0.026804224,-1.108803584,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015190655,0.706225493,0.80808538,0.03056664,11.244,5.706,6.21,0.0,0.000719505849
170681631244288.0,01:05:09FB,0.898891776,0.309788672,-0.485163008,0.01179648,-0.28704768,-0.13041664,0.0,0.0,0.0,0.367250338,0.84972675,0.332324939,-0.430782171,10.22,3.819,4.507,0.0,0.000236795463
170681950011392.0,01:05:09FB,0.897581056,0.311033856,-0.489816064,-0.00065536,-0.2850816,-0.13697024,0.0,0.0,0.0,0.367250338,0.84972675,0.332324939,-0.430782171,10.22,3.819,4.507,0.0,0.000318767104
170681312477184.0,01:05:09FB,0.897581056,0.311033856,-0.489816064,-0.00065536,-0.2850816,-0.13697024,0.0,0.0,0.0,0.367554133,0.848990108,0.332384264,-0.431928186,10.22,3.819,4.507,0.0,-0.000637534208
170682033426471.0,01:05:09FB,-0.065273856,0.027328512,-1.109000192,0.01179648,0.00524288,0.01376256,0.0,0.0,0.0,-0.015192371,0.706222587,0.808087752,0.030570185,11.244,5.706,6.211,0.0,0.000720949287
170682268778496.0,01:05:09FB,0.896270336,0.311820288,-0.49217536,-0.00262144,-0.27983872,-0.14024704,0.0,0.0,0.0,0.366682389,0.851202998,0.332144997,-0.42848417,2.342,2.881,6.163,0.0,0.000235352025
170682587545600.0,01:05:09FB,0.891027456,0.308609024,-0.493289472,-0.00589824,-0.27590656,-0.14614528,0.0,0.0,0.0,0.366682389,0.851202998,0.332144997,-0.42848417,2.342,2.881,6.163,0.0,0.000318767104
170681950011392.0,01:05:09FB,0.891027456,0.308609024,-0.493289472,-0.00589824,-0.27590656,-0.14614528,0.0,0.0,0.0,0.366957733,0.85046841,0.332242913,-0.429629674,2.342,2.881,6.163,0.0,-0.000637534208
170682672402670.0,01:05:09FB,-0.065470464,0.02686976,-1.109065728,0.01245184,0.00589824,0.0131072,43.25376,-31.981568,-2.62144,-0.015194222,0.706221823,0.808088496,0.030567247,11.244,5.706,6.211,0.0,0.000722391278
170682906312704.0,01:05:09FB,0.898695168,0.316145664,-0.49905664,-0.00786432,-0.27328512,-0.15794176,43.25376,-31.981568,-2.62144,0.366209441,0.852669162,0.331868131,-0.426181875,10.218,3.819,4.511,0.0,0.000233910034
170683225079808.0,01:05:09FB,0.906493952,0.324861952,-0.503382016,-0.00720896,-0.2719744,-0.16121856,43.25376,-31.981568,-2.62144,0.366209441,0.852669162,0.331868131,-0.426181875,10.218,3.819,4.511,0.0,0.000318767104
170682587545600.0,01:05:09FB,0.906493952,0.324861952,-0.503382016,-0.00720896,-0.2719744,-0.16121856,43.25376,-31.981568,-2.62144,0.366433102,0.851932452,0.332026074,-0.427338354,10.218,3.819,4.511,0.0,-0.000637534208
170683311384717.0,01:05:09FB,-0.065339392,0.02686976,-1.109000192,0.01245184,0.00589824,0.01376256,42.074112,-5.111808,-32.899072,-0.015197423,0.706221098,0.80808921,0.030563571,11.246,5.703,6.21,0.0,0.000723839117
170683543846912.0,01:05:09FB,0.910229504,0.33128448,-0.504365056,-0.00720896,-0.27066368,-0.15597568,24.90368,-11.79648,6.029312,0.365782837,0.854132988,0.331525845,-0.423877188,10.217,3.819,4.512,0.0,0.000232462195
170683862614016.0,01:05:09FB,0.907214848,0.333053952,-0.501809152,-0.00786432,-0.2719744,-0.14876672,24.90368,-11.79648,6.029312,0.365782837,0.854132988,0.331525845,-0.423877188,10.217,3.819,4.512,0.0,0.000318767104
170683225079808.0,01:05:09FB,0.907214848,0.333053952,-0.501809152,-0.00786432,-0.2719744,-0.14876672,24.90368,-11.79648,6.029312,0.36599588,0.853407182,0.33169165,-0.425023941,10.217,3.819,4.512,0.0,-0.000637534208
170683950354651.0,01:05:09FB,-0.065339392,0.027000832,-1.108672512,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015200698,0.706220377,0.808089923,0.03055971,11.247,5.7,6.209,0.0,0.000725274843
170684181381120.0,01:05:09FB,0.899612672,0.332791808,-0.502792192,-0.0098304,-0.2752512,-0.14614528,24.90368,-11.79648,6.029312,0.36535126,0.855554666,0.331254614,-0.421588135,2.342,2.879,6.163,0.0,0.000231026469
170684500148224.0,01:05:09FB,0.893648896,0.332857344,-0.507117568,-0.0098304,-0.27787264,-0.14942208,24.90368,-11.79648,6.029312,0.36535126,0.855554666,0.331254614,-0.421588135,2.342,2.879,6.163,0.0,0.000318767104
170683862614016.0,01:05:09FB,0.893648896,0.332857344,-0.507117568,-0.0098304,-0.27787264,-0.14942208,24.90368,-11.79648,6.029312,0.365565697,0.854846385,0.331383044,-0.422736516,2.342,2.879,6.163,0.0,-0.000637534208
170684589344908.0,01:05:09FB,-0.065798144,0.027000832,-1.108934656,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015203405,0.706221777,0.808088765,0.030556642,11.247,5.697,6.208,0.0,0.000726730892
170684818915328.0,01:05:09FB,0.892141568,0.33292288,-0.512622592,-0.01048576,-0.27721728,-0.1507328,24.90368,-11.79648,6.029312,0.364925062,0.856992254,0.330977209,-0.419248813,2.343,2.88,6.166,0.0,0.00022957042
170685137682432.0,01:05:09FB,0.89194496,0.329777152,-0.514916352,-0.01048576,-0.27394048,-0.147456,24.90368,-11.79648,6.029312,0.364925062,0.856992254,0.330977209,-0.419248813,2.343,2.88,6.166,0.0,0.000318767104
170684500148224.0,01:05:09FB,0.89194496,0.329777152,-0.514916352,-0.01048576,-0.27394048,-0.147456,24.90368,-11.79648,6.029312,0.365137499,0.856272404,0.331117971,-0.420421895,2.343,2.88,6.166,0.0,-0.000637534208
170685228307076.0,01:05:09FB,-0.065404928,0.026738688,-1.10886912,0.01245184,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015207615,0.706223176,0.808087553,0.03055426,11.245,5.697,6.209,0.0,0.000728158852
170685456449536.0,01:05:09FB,0.891420672,0.32669696,-0.513605632,-0.01114112,-0.2719744,-0.14483456,24.90368,-11.79648,6.029312,0.364482223,0.858403586,0.330722327,-0.416941529,11.245,5.697,6.209,0.0,0.00022814246
170685775216640.0,01:05:09FB,0.88997888,0.32636928,-0.51314688,-0.01179648,-0.27262976,-0.14614528,24.90368,-11.79648,6.029312,0.364482223,0.858403586,0.330722327,-0.416941529,11.245,5.697,6.209,0.0,0.000318767104
170685137682432.0,01:05:09FB,0.88997888,0.32636928,-0.51314688,-0.01179648,-0.27262976,-0.14614528,24.90368,-11.79648,6.029312,0.364706455,0.857703202,0.33084436,-0.418088423,11.245,5.697,6.209,0.0,-0.000637534208
170685867298694.0,01:05:09FB,-0.065011712,0.027000832,-1.108279296,0.01179648,0.00589824,0.01245184,24.90368,-11.79648,6.029312,-0.015206672,0.706226841,0.808084363,0.030554382,11.243,5.696,6.209,0.0,0.000729616262
170686093983744.0,01:05:09FB,0.887619584,0.330104832,-0.516161536,-0.01376256,-0.27459584,-0.14942208,24.90368,-11.79648,6.029312,0.364045722,0.859798495,0.330472293,-0.414640597,10.216,3.809,4.517,0.0,0.00022668505
170686412750848.0,01:05:09FB,0.883687424,0.335478784,-0.519438336,-0.01441792,-0.2752512,-0.1507328,24.90368,-11.79648,6.029312,0.364045722,0.859798495,0.330472293,-0.414640597,10.216,3.809,4.517,0.0,0.000318767104
170685775216640.0,01:05:09FB,0.883687424,0.335478784,-0.519438336,-0.01441792,-0.2752512,-0.1507328,24.90368,-11.79648,6.029312,0.364259012,0.859100485,0.33060001,-0.415796665,10.216,3.809,4.517,0.0,-0.000637534208
170686506266453.0,01:05:09FB,-0.064618496,0.027066368,-1.10821376,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015203976,0.706228327,0.808083101,0.030554798,11.241,5.693,6.209,0.0,0.000731049813
170686731517952.0,01:05:09FB,0.88014848,0.339410944,-0.521535488,-0.01441792,-0.27394048,-0.14876672,24.90368,-11.79648,6.029312,0.363633108,0.861195549,0.330206332,-0.412308709,10.217,3.808,4.518,0.0,0.000225251499
170687050285056.0,01:05:09FB,0.878247936,0.3407872,-0.520945664,-0.01376256,-0.27131904,-0.14483456,24.90368,-11.79648,6.029312,0.363633108,0.861195549,0.330206332,-0.412308709,10.217,3.808,4.518,0.0,0.000318767104
170686412750848.0,01:05:09FB,0.878247936,0.3407872,-0.520945664,-0.01376256,-0.27131904,-0.14483456,24.90368,-11.79648,6.029312,0.363838205,0.860498666,0.33033913,-0.41347475,10.217,3.808,4.518,0.0,-0.000637534208
170687145256129.0,01:05:09FB,-0.064815104,0.02686976,-1.1075584,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015201203,0.706229818,0.808081842,0.03055497,11.239,5.693,6.209,0.0,0.000732505281
170687369052160.0,01:05:09FB,0.878116864,0.340328448,-0.521863168,-0.0131072,-0.27066368,-0.14286848,24.90368,-11.79648,6.029312,0.363216369,0.862566236,0.329954301,-0.41000612,10.216,3.806,4.519,0.0,0.000223796031
170687687819264.0,01:05:09FB,0.878641152,0.339542016,-0.524550144,-0.0131072,-0.27066368,-0.14155776,24.90368,-11.79648,6.029312,0.363216369,0.862566236,0.329954301,-0.41000612,10.216,3.806,4.519,0.0,0.000318767104
170687050285056.0,01:05:09FB,0.878641152,0.339542016,-0.524550144,-0.0131072,-0.27066368,-0.14155776,24.90368,-11.79648,6.029312,0.363425848,0.861883891,0.330078789,-0.411153628,10.216,3.806,4.519,0.0,-0.000637534208
170687784223770.0,01:05:09FB,-0.064749568,0.026345472,-1.10690304,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015199177,0.706229193,0.808082451,0.030554337,11.234,5.696,6.211,0.0,0.000733938714
170688006586368.0,01:05:09FB,0.878313472,0.338952192,-0.528482304,-0.0131072,-0.27131904,-0.14155776,24.90368,-11.79648,6.029312,0.362786342,0.863919773,0.329718312,-0.407720535,2.34,2.872,6.16,0.0,0.000222362598
170688325353472.0,01:05:09FB,0.876412928,0.338362368,-0.532021248,-0.0131072,-0.27131904,-0.1409024,24.90368,-11.79648,6.029312,0.362786342,0.863919773,0.329718312,-0.407720535,2.34,2.872,6.16,0.0,0.000318767104
170687687819264.0,01:05:09FB,0.876412928,0.338362368,-0.532021248,-0.0131072,-0.27131904,-0.1409024,24.90368,-11.79648,6.029312,0.36300345,0.863243576,0.329835044,-0.40886351,2.34,2.872,6.16,0.0,-0.000637534208
170688423203052.0,01:05:09FB,-0.064815104,0.026476544,-1.107689472,0.01179648,0.00589824,0.0131072,24.90368,-11.79648,6.029312,-0.015198468,0.706230785,0.808081163,0.030551965,11.229,5.696,6.212,0.0,0.000735383788
170688644120576.0,01:05:09FB,0.873529344,0.33882112,-0.533856256,-0.01376256,-0.27066368,-0.14155776,24.90368,-11.79648,6.029312,0.362341706,0.865267443,0.329491659,-0.405434938,11.229,5.696,6.212,0.0,0.000220917524
170688962887680.0,01:05:09FB,0.871170048,0.340852736,-0.535166976,-0.01376256,-0.27000832,-0.14286848,24.90368,-11.79648,6.029312,0.362341706,0.865267443,0.329491659,-0.405434938,11.229,5.696,6.212,0.0,0.000318767104
170688325353472.0,01:05:09FB,0.871170048,0.340852736,-0.535166976,-0.01376256,-0.27000832,-0.14286848,24.90368,-11.79648,6.029312,0.362563878,0.86459432,0.329605479,-0.406578195,11.229,5.696,6.212,0.0,-0.000637534208
170689062171468.0,01:05:09FB,-0.06488064,0.026804224,-1.108410368,0.01179648,0.00589824,0.01376256,24.90368,-11.79648,6.029312,-0.015196921,0.706228029,0.808083643,0.030550835,11.226,5.696,6.212,0.0,0.000736817996
170689281654784.0,01:05:09FB,0.870187008,0.343605248,-0.53772288,-0.01441792,-0.2686976,-0.14483456,24.90368,-11.79648,6.029312,0.361910236,0.866611442,0.329242372,-0.403145819,2.338,2.872,6.16,0.0,0.000219483316
170689600421888.0,01:05:09FB,0.870252544,0.346423296,-0.54001664,-0.01507328,-0.26804224,-0.14614528,24.90368,-11.79648,6.029312,0.36170565,0.867281286,0.329106487,-0.401998279,2.338,2.872,6.16,0.0,0.000318767104
170688962887680.0,01:05:09FB,0.870252544,0.346423296,-0.54001664,-0.01507328,-0.26804224,-0.14614528,24.90368,-11.79648,6.029312,0.362121541,0.865940348,0.329371845,-0.404290728,2.338,2.872,6.16,0.0,-0.000637534208
170689701160989.0,01:05:09FB,-0.06488064,0.027066368,-1.107361792,0.01179648,0.00524288,0.0131072,24.90368,-11.79648,6.029312,-0.015199473,0.706227234,0.808084158,0.030554322,11.224,5.694,6.211,0.0,0.000738273309
170689919188992.0,01:05:09FB,0.869269504,0.348520448,-0.542113792,-0.01507328,-0.26738688,-0.14680064,24.90368,-11.79648,6.029312,0.361504775,0.867949207,0.328965491,-0.400851193,2.337,2.874,6.161,0.0,0.000218028003
170690237956096.0,01:05:09FB,0.86769664,0.348782592,-0.543031296,-0.01572864,-0.26738688,-0.14680064,24.90368,-11.79648,6.029312,0.361504775,0.867949207,0.328965491,-0.400851193,2.337,2.874,6.161,0.0,0.000318767104
170690340129492.0,01:05:09FB,-0.064946176,0.02686976,-1.106771968,0.01179648,0.00524288,0.01376256,42.991616,-31.981568,-4.456448,-0.015201151,0.706224247,0.808086566,0.030558837,11.223,5.694,6.211,0.0,0.000102173396
170690556723200.0,01:05:09FB,0.865271808,0.34865152,-0.545325056,-0.016384,-0.26738688,-0.147456,42.991616,-31.981568,-4.456448,0.361112415,0.869277835,0.328681353,-0.398552307,2.335,2.877,6.163,0.0,0.000216593708
170690875490304.0,01:05:09FB,0.862650368,0.348454912,-0.547094528,-0.016384,-0.26738688,-0.14876672,42.991616,-31.981568,-4.456448,0.361112415,0.869277835,0.328681353,-0.398552307,2.335,2.877,6.163,0.0,0.000318767104
170690237956096.0,01:05:09FB,0.862650368,0.348454912,-0.547094528,-0.016384,-0.26738688,-0.14876672,42.991616,-31.981568,-4.456448,0.361307128,0.868614724,0.328824152,-0.399702137,2.335,2.877,6.163,0.0,-0.000637534208
