network_time,device_id,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp,elapsed_time
170678920589662.0,01:05:0A0D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.343,2.883,6.164,0.0,0
170678963666944.0,01:05:0A0D,-0.065732608,0.027328512,-1.108606976,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015184636,0.706229087,0.80808257,0.030560887,10.217,3.821,4.502,0.0,4.3077282e-05
170679282434048.0,01:05:0A0D,-0.065929216,0.02719744,-1.108672512,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015186199,0.706229764,0.808081974,0.030560213,10.217,3.821,4.502,0.0,0.000318767104
170679559575888.0,01:05:0A0D,-0.065929216,0.02719744,-1.108672512,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015186199,0.706229764,0.808081974,0.030560213,2.343,2.885,6.165,0.0,0.00027714184
170679617978368.0,01:05:0A0D,-0.066060288,0.026935296,-1.109131264,0.01245184,0.00589824,0.0131072,0.0,0.0,0.0,-0.015188194,0.706230445,0.808081364,0.030559591,2.343,2.885,6.165,0.0,5.840248e-05
170679936745472.0,01:05:0A0D,-0.06619136,0.026935296,-1.109131264,0.01179648,0.00589824,0.0131072,0.0,0.0,0.0,-0.015188791,0.70623118,0.808080663,0.030560866,2.343,2.885,6.165,0.0,0.000318767104
170680198548247.0,01:05:0A0D,-0.06619136,0.026935296,-1.109131264,0.01179648,0.00589824,0.0131072,0.0,0.0,0.0,-0.015188791,0.70623118,0.808080663,0.030560866,2.341,2.886,6.167,0.0,0.000261802775
170680255512576.0,01:05:0A0D,-0.066125824,0.02719744,-1.108738048,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.01518949,0.70622976,0.808081835,0.030562338,2.341,2.886,6.167,0.0,5.6964329e-05
170680574279680.0,01:05:0A0D,-0.065994752,0.027066368,-1.108672512,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015189787,0.706228326,0.808083015,0.030564138,2.341,2.886,6.167,0.0,0.000318767104
170680837526507.0,01:05:0A0D,-0.065994752,0.027066368,-1.108672512,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015189787,0.706228326,0.808083015,0.030564138,2.343,2.884,6.167,0.0,0.000263246827
170680893046784.0,01:05:0A0D,-0.065994752,0.026804224,-1.10886912,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015190062,0.706226901,0.808084199,0.030565588,2.343,2.884,6.167,0.0,5.5520277e-05
170681211813888.0,01:05:0A0D,-0.065732608,0.026804224,-1.108803584,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015190655,0.706225493,0.80808538,0.03056664,2.343,2.884,6.167,0.0,0.000318767104
170681476509562.0,01:05:0A0D,-0.065732608,0.026804224,-1.108803584,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015190655,0.706225493,0.80808538,0.03056664,2.341,2.884,6.166,0.0,0.000264695674
170681530580992.0,01:05:0A0D,-0.065470464,0.02719744,-1.109000192,0.01179648,0.00589824,0.01376256,0.0,0.0,0.0,-0.015190874,0.706224089,0.808086575,0.030567368,10.22,3.819,4.507,0.0,5.407143e-05
170681849348096.0,01:05:0A0D,-0.065273856,0.027328512,-1.109000192,0.01179648,0.00524288,0.01376256,0.0,0.0,0.0,-0.015192371,0.706222587,0.808087752,0.030570185,10.22,3.819,4.507,0.0,0.000318767104
170682115486188.0,01:05:0A0D,-0.065273856,0.027328512,-1.109000192,0.01179648,0.00524288,0.01376256,0.0,0.0,0.0,-0.015192371,0.706222587,0.808087752,0.030570185,2.342,2.881,6.163,0.0,0.000266138092
170682168115200.0,01:05:0A0D,-0.065273856,0.027131904,-1.10952448,0.01245184,0.00589824,0.01376256,43.25376,-31.981568,-2.62144,-0.01519315,0.706221123,0.808089066,0.030568903,2.342,2.881,6.163,0.0,5.2629012e-05
