elapsed_time,movement_counter,player_pos_x,player_pos_y,player_pos_z,player_distance_traveled,movement_time,speed,distance_to_ball,has_posession,is_touch
0.0,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,41.280746,1,1
0.042,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,41.280746,1,0
0.043,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,41.280746,1,0
0.087,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,41.280746,1,0
0.088,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,41.280746,1,0
0.116,0,1832.0,737.0,-1236.0,0.0,0.0,0.0,39.911151,1,0
0.12,1,1829.0,735.0,-1236.0,0.004,0.12,0.12,39.682364,1,0
0.131,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,39.682364,1,0
0.132,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,39.682364,1,0
0.176,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,39.682364,1,0
0.177,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,39.682364,1,0
0.189,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,38.115876,1,0
0.222,1,1829.0,735.0,-1236.0,0.0,0.12,0.12,38.115876,1,0
0.229,2,1831.0,758.0,-1232.0,0.023,0.109,0.7596,40.42091,1,0
0.266,2,1831.0,758.0,-1232.0,0.0,0.109,0.7596,40.42091,1,0
0.267,2,1831.0,758.0,-1232.0,0.0,0.109,0.7596,40.42091,1,0
0.27,2,1829.0,769.0,-1216.0,0.011,0.041,0.7596,41.514576,1,0
0.311,2,1829.0,769.0,-1216.0,0.0,0.041,0.7596,41.514576,1,0
0.312,2,1829.0,769.0,-1216.0,0.0,0.041,0.7596,41.514576,1,0
0.336,2,1829.0,769.0,-1216.0,0.0,0.041,0.7596,43.014067,1,0
0.356,2,1829.0,769.0,-1216.0,0.0,0.041,0.7596,43.014067,1,0
0.357,2,1829.0,769.0,-1216.0,0.0,0.041,0.7596,43.014067,1,0
0.376,3,1833.0,766.0,-1215.0,0.005,0.106,0.3918,42.705737,1,0
0.401,3,1833.0,766.0,-1215.0,0.0,0.106,0.3918,42.705737,1,0
0.402,3,1833.0,766.0,-1215.0,0.0,0.106,0.3918,42.705737,1,0
0.491,3,1833.0,766.0,-1215.0,0.0,0.106,0.3918,42.705737,1,0
0.492,3,1833.0,766.0,-1215.0,0.0,0.106,0.3918,42.705737,1,0
0.493,3,1833.0,766.0,-1215.0,0.0,0.106,0.3918,42.705737,1,0
0.494,4,1835.0,774.0,-1205.0,0.008,0.118,0.2441,43.502873,1,0
0.536,4,1835.0,774.0,-1205.0,0.0,0.118,0.2441,43.502873,1,0
0.537,4,1835.0,774.0,-1205.0,0.0,0.118,0.2441,43.502873,1,0
0.562,4,1835.0,774.0,-1205.0,0.0,0.118,0.2441,43.214002,1,0
0.569,4,1845.0,773.0,-1179.0,0.01,0.075,0.2441,43.100116,1,0
0.581,4,1845.0,773.0,-1179.0,0.0,0.075,0.2441,43.100116,1,0
0.626,4,1845.0,773.0,-1179.0,0.0,0.075,0.2441,43.100116,1,0
0.627,4,1845.0,773.0,-1179.0,0.0,0.075,0.2441,43.100116,1,0
0.671,4,1845.0,773.0,-1179.0,0.0,0.075,0.2441,43.100116,1,0
0.672,4,1845.0,773.0,-1179.0,0.0,0.075,0.2441,43.100116,1,0
0.678,5,1840.0,766.0,-1198.0,0.009,0.109,0.3717,42.404245,1,0
0.716,5,1840.0,766.0,-1198.0,0.0,0.109,0.3717,42.404245,1,0
0.717,5,1840.0,766.0,-1198.0,0.0,0.109,0.3717,42.404245,1,0
0.761,5,1840.0,766.0,-1198.0,0.0,0.109,0.3717,42.404245,1,0
0.762,5,1840.0,766.0,-1198.0,0.0,0.109,0.3717,42.404245,1,0
0.792,6,1848.0,794.0,-1193.0,0.029,0.114,0.9158,45.200442,1,0
0.807,6,1848.0,794.0,-1193.0,0.0,0.114,0.9158,45.200442,1,0
0.808,6,1848.0,794.0,-1193.0,0.0,0.114,0.9158,45.200442,1,0
0.851,6,1848.0,794.0,-1193.0,0.0,0.114,0.9158,45.200442,1,0
0.852,6,1848.0,794.0,-1193.0,0.0,0.114,0.9158,45.200442,1,0
0.87,6,1843.0,782.0,-1186.0,0.013,0.078,0.9158,44.001023,1,0
0.897,6,1843.0,782.0,-1186.0,0.0,0.078,0.9158,44.001023,1,0
0.898,6,1843.0,782.0,-1186.0,0.0,0.078,0.9158,44.001023,1,0
0.941,6,1843.0,782.0,-1186.0,0.0,0.078,0.9158,43.400115,1,0
0.942,6,1843.0,782.0,-1186.0,0.0,0.078,0.9158,43.400115,1,0
0.943,6,1843.0,782.0,-1186.0,0.0,0.078,0.9158,43.400115,1,0
0.982,7,1840.0,786.0,-1207.0,0.005,0.112,0.3411,43.801826,1,0
0.987,7,1840.0,786.0,-1207.0,0.0,0.112,0.3411,43.801826,1,0
0.987,7,1840.0,786.0,-1207.0,0.0,0.112,0.3411,43.801826,1,0
1.011,7,1840.0,786.0,-1207.0,0.0,0.112,0.3411,42.200474,1,0
1.051,7,1840.0,786.0,-1207.0,0.0,0.112,0.3411,42.36803,1,0
1.088,8,1828.0,787.0,-1223.0,0.012,0.106,0.4075,42.552556,1,0
1.122,8,1828.0,787.0,-1223.0,0.0,0.106,0.4075,42.552556,1,0
1.123,8,1828.0,787.0,-1223.0,0.0,0.106,0.4075,42.552556,1,0
1.166,8,1828.0,787.0,-1223.0,0.0,0.106,0.4075,42.552556,1,0
1.204,8,1828.0,787.0,-1223.0,0.0,0.106,0.4075,42.819738,1,0
