network_time,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,posX,posY,posZ,timestamp
146726823181991,0,0,0,0,0,0,0,0,0,0,0,0,0,7.299,8.963,7.154,0
146727004798976.0,0.675086336,0.768606208,-0.350552064,-0.03670016,0.00131072,-0.00524288,0.0,0.0,0.0,0.621696314,0.703772137,0.517894537,-0.053900112,7.299,8.963,7.154,0.0
146727323566080.0,0.675151872,0.768802816,-0.351010816,-0.03670016,0.00131072,-0.00524288,0.0,0.0,0.0,0.621697432,0.703771069,0.517894578,-0.053900791,7.299,8.963,7.154,0.0
146727462160113.0,0.675151872,0.768802816,-0.351010816,-0.03670016,0.00131072,-0.00524288,0.0,0.0,0.0,0.621697432,0.703771069,0.517894578,-0.053900791,7.295,8.958,7.154,0.0
146727642333184.0,0.67534848,0.76873728,-0.351010816,-0.03670016,0.00065536,-0.00524288,0.0,0.0,0.0,0.621696606,0.70377053,0.517896445,-0.053899418,7.295,8.958,7.154,0.0
146727961100288.0,0.675217408,0.768868352,-0.35160064,-0.03670016,0.00065536,-0.00524288,0.0,0.0,0.0,0.621695798,0.703769841,0.517898463,-0.053898343,7.295,8.958,7.154,0.0
146728101127579.0,0.675217408,0.768868352,-0.35160064,-0.03670016,0.00065536,-0.00524288,0.0,0.0,0.0,0.621695798,0.703769841,0.517898463,-0.053898343,7.293,8.956,7.154,0.0
146728279867392.0,0.67534848,0.768671744,-0.351469568,-0.0360448,0.00065536,-0.00524288,0.0,0.0,0.0,0.621692293,0.703771417,0.517900532,-0.053898287,7.293,8.956,7.154,0.0
146728598634496.0,0.675414016,0.768802816,-0.35127296,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621689076,0.703774125,0.517900856,-0.053896941,7.293,8.956,7.154,0.0
146728740117176.0,0.675414016,0.768802816,-0.35127296,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621689076,0.703774125,0.517900856,-0.053896941,7.291,8.954,7.154,0.0
146728917401600.0,0.67534848,0.768999424,-0.351076352,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621686232,0.703776642,0.517900992,-0.053895573,7.291,8.954,7.154,0.0
146729236168704.0,0.675282944,0.768999424,-0.350814208,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.62168376,0.703779072,0.517900825,-0.053893967,7.291,8.954,7.154,0.0
146729379097221.0,0.675282944,0.768999424,-0.350814208,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.62168376,0.703779072,0.517900825,-0.053893967,7.289,8.953,7.155,0.0
146729554935808.0,0.675479552,0.76906496,-0.350748672,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621681662,0.703781319,0.517900461,-0.053892323,7.289,8.953,7.155,0.0
146729873702912.0,0.675414016,0.768868352,-0.351207424,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621679742,0.703783383,0.517900112,-0.053890863,7.289,8.953,7.155,0.0
146730018078871.0,0.675414016,0.768868352,-0.351207424,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621679742,0.703783383,0.517900112,-0.053890863,7.287,8.955,7.156,0.0
146730192470016.0,0.675545088,0.768540672,-0.351076352,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621677059,0.703785827,0.517900157,-0.053889467,7.287,8.955,7.156,0.0
146730511237120.0,0.675282944,0.7684096,-0.351207424,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621674454,0.703787993,0.517900432,-0.053888568,7.287,8.955,7.156,0.0
146730657046019.0,0.675282944,0.7684096,-0.351207424,-0.0360448,0.00065536,-0.00589824,0.0,0.0,0.0,0.621674454,0.703787993,0.517900432,-0.053888568,7.289,8.956,7.157,0.0
146730830004224.0,0.67534848,0.768344064,-0.351535104,-0.03670016,0.00065536,-0.00589824,0.0,0.0,0.0,0.621673423,0.703788757,0.51790089,-0.0538861,7.289,8.956,7.157,0.0
146731148771328.0,0.675151872,0.768802816,-0.351862784,-0.03670016,0.00065536,-0.00589824,0.0,0.0,0.0,0.621671904,0.703789731,0.517901634,-0.053883737,7.289,8.956,7.157,0.0
146731296035946.0,0.675151872,0.768802816,-0.351862784,-0.03670016,0.00065536,-0.00589824,0.0,0.0,0.0,0.621671904,0.703789731,0.517901634,-0.053883737,7.289,8.961,7.157,0.0
146731467538432.0,0.675282944,0.769130496,-0.352190464,-0.03670016,0.00131072,-0.00589824,0.0,0.0,0.0,0.621671463,0.703791063,0.517900481,-0.053882533,7.289,8.961,7.157,0.0
146731786305536.0,0.675086336,0.769130496,-0.352321536,-0.03670016,0.00131072,-0.00589824,0.0,0.0,0.0,0.621670729,0.703792646,0.517899357,-0.053881127,7.289,8.961,7.157,0.0
146731935005528.0,0.675086336,0.769130496,-0.352321536,-0.03670016,0.00131072,-0.00589824,0.0,0.0,0.0,0.621670729,0.703792646,0.517899357,-0.053881127,7.291,8.963,7.158,0.0
146732105072640.0,0.675086336,0.769196032,-0.351993856,-0.03670016,0.00131072,-0.00589824,0.0,0.0,0.0,0.621669762,0.703794467,0.517898212,-0.053879478,7.291,8.963,7.158,0.0
146732423839744.0,0.675086336,0.768999424,-0.351797248,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621669305,0.703796023,0.517896821,-0.053877816,7.291,8.963,7.158,0.0
146732573991032.0,0.675086336,0.768999424,-0.351797248,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621669305,0.703796023,0.517896821,-0.053877816,7.287,8.963,7.158,0.0
146732742606848.0,0.675217408,0.769261568,-0.35192832,-0.0360448,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166717,0.703799023,0.517895314,-0.053877758,7.287,8.963,7.158,0.0
146733061373952.0,0.675217408,0.769130496,-0.351535104,-0.0360448,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621665003,0.703802092,0.517893762,-0.053877587,7.287,8.963,7.158,0.0
146733212975428.0,0.675217408,0.769130496,-0.351535104,-0.0360448,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621665003,0.703802092,0.517893762,-0.053877587,7.286,8.96,7.158,0.0
146733380141056.0,0.675151872,0.769196032,-0.351141888,-0.0360448,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621663353,0.703804797,0.517892063,-0.053877598,7.286,8.96,7.158,0.0
146733698908160.0,0.675151872,0.769130496,-0.351469568,-0.03670016,0.00065536,-0.00589824,16.646144,-13.76256,0.131072,0.621662791,0.703805714,0.51789184,-0.053874271,7.286,8.96,7.158,0.0
146733851949549.0,0.675151872,0.769130496,-0.351469568,-0.03670016,0.00065536,-0.00589824,16.646144,-13.76256,0.131072,0.621662791,0.703805714,0.51789184,-0.053874271,7.289,8.96,7.159,0.0
146734017675264.0,0.675414016,0.769196032,-0.35127296,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621662961,0.703805362,0.517892089,-0.053874506,7.289,8.96,7.159,0.0
146734336442368.0,0.67534848,0.769589248,-0.351404032,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166365,0.703806062,0.517890431,-0.053873355,7.289,8.96,7.159,0.0
146734490908555.0,0.67534848,0.769589248,-0.351404032,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166365,0.703806062,0.517890431,-0.053873355,7.287,8.959,7.159,0.0
146734655209472.0,0.67534848,0.769261568,-0.351535104,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621664312,0.703806998,0.517888531,-0.053871729,7.287,8.959,7.159,0.0
146734973976576.0,0.675610624,0.769327104,-0.351404032,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166463,0.703807973,0.517886963,-0.053870418,7.287,8.959,7.159,0.0
146735129886406.0,0.675610624,0.769327104,-0.351404032,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166463,0.703807973,0.517886963,-0.053870418,7.285,8.955,7.159,0.0
146735292743680.0,0.675610624,0.769523712,-0.35094528,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621665227,0.703808672,0.517885406,-0.053869374,7.285,8.955,7.159,0.0
146735611510784.0,0.67567616,0.769458176,-0.35127296,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621666578,0.703809026,0.517883424,-0.053868201,7.285,8.955,7.159,0.0
146735768875231.0,0.67567616,0.769458176,-0.35127296,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621666578,0.703809026,0.517883424,-0.053868201,7.285,8.953,7.16,0.0
146735930277888.0,0.675741696,0.769654784,-0.351141888,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621667432,0.703809596,0.517881733,-0.053867133,7.285,8.953,7.16,0.0
146736249044992.0,0.67600384,0.769785856,-0.351076352,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166858,0.703810054,0.517879855,-0.053865974,7.285,8.953,7.16,0.0
146736407849351.0,0.67600384,0.769785856,-0.351076352,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.62166858,0.703810054,0.517879855,-0.053865974,7.285,8.949,7.16,0.0
146736567812096.0,0.676069376,0.769654784,-0.35127296,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621669939,0.703810306,0.517877982,-0.053865009,7.285,8.949,7.16,0.0
146736886579200.0,0.676134912,0.769327104,-0.350552064,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621670818,0.703809271,0.51787824,-0.053865885,7.285,8.949,7.16,0.0
146737046821816.0,0.676134912,0.769327104,-0.350552064,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621670818,0.703809271,0.51787824,-0.053865885,7.286,8.949,7.161,0.0
146737205346304.0,0.675807232,0.768999424,-0.350879744,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621672604,0.703807522,0.517878334,-0.053867249,7.286,8.949,7.161,0.0
146737524113408.0,0.67567616,0.768999424,-0.35094528,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621673681,0.703806206,0.5178787,-0.053868499,7.286,8.949,7.161,0.0
146737685809083.0,0.67567616,0.768999424,-0.35094528,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621673681,0.703806206,0.5178787,-0.053868499,7.287,8.948,7.162,0.0
146737842880512.0,0.67567616,0.769196032,-0.35094528,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621674628,0.703805038,0.517879037,-0.053869581,7.287,8.948,7.162,0.0
146738161647616.0,0.675872768,0.76939264,-0.351076352,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621675663,0.703803916,0.517879227,-0.053870466,7.287,8.948,7.162,0.0
146738324783246.0,0.675872768,0.76939264,-0.351076352,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621675663,0.703803916,0.517879227,-0.053870466,7.289,8.947,7.162,0.0
146738480414720.0,0.675741696,0.769327104,-0.351666176,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.62167664,0.703802817,0.517879454,-0.053871369,7.289,8.947,7.162,0.0
146738799181824.0,0.67567616,0.769196032,-0.352190464,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621676698,0.703802291,0.517880024,-0.053872104,7.289,8.947,7.162,0.0
146738963749318.0,0.67567616,0.769196032,-0.352190464,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621676698,0.703802291,0.517880024,-0.053872104,7.287,8.946,7.162,0.0
146739117948928.0,0.67534848,0.769523712,-0.352321536,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621675917,0.703802222,0.517880979,-0.053872821,7.287,8.946,7.162,0.0
146739436716032.0,0.67534848,0.769523712,-0.352256,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621675027,0.703802556,0.517881596,-0.05387281,7.287,8.946,7.162,0.0
146739602735864.0,0.67534848,0.769523712,-0.352256,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621675027,0.703802556,0.517881596,-0.05387281,7.29,8.947,7.163,0.0
146739755483136.0,0.675479552,0.769523712,-0.352714752,-0.03670016,0.00131072,-0.00524288,16.646144,-13.76256,0.131072,0.621674235,0.703802833,0.517882171,-0.053872807,7.29,8.947,7.163,0.0
146740074250240.0,0.675545088,0.769130496,-0.351862784,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621672953,0.703804782,0.517881222,-0.053871245,7.29,8.947,7.163,0.0
146740241712776.0,0.675545088,0.769130496,-0.351862784,-0.03670016,0.00131072,-0.00589824,16.646144,-13.76256,0.131072,0.621672953,0.703804782,0.517881222,-0.053871245,7.291,8.949,7.163,0.0
146740393017344.0,0.675872768,0.769261568,-0.351731712,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672746,0.703805884,0.517880076,-0.053870261,7.291,8.949,7.163,0.0
146740711784448.0,0.675807232,0.769261568,-0.351535104,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672865,0.703806678,0.517878925,-0.053869556,7.291,8.949,7.163,0.0
146740880680924.0,0.675807232,0.769261568,-0.351535104,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672865,0.703806678,0.517878925,-0.053869556,7.289,8.947,7.163,0.0
146741030551552.0,0.675807232,0.768999424,-0.351076352,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621673254,0.70380735,0.517877623,-0.053868803,7.289,8.947,7.163,0.0
146741349318656.0,0.675807232,0.768606208,-0.351076352,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672313,0.703809236,0.517876093,-0.053869749,7.289,8.947,7.163,0.0
146741519653804.0,0.675807232,0.768606208,-0.351076352,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672313,0.703809236,0.517876093,-0.053869749,7.294,8.946,7.163,0.0
146741668085760.0,0.676069376,0.768606208,-0.351141888,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621671193,0.703811035,0.517874854,-0.053871082,7.294,8.946,7.163,0.0
146741986852864.0,0.675807232,0.768868352,-0.350814208,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621670042,0.703812709,0.517873792,-0.053872717,7.294,8.946,7.163,0.0
146742158643420.0,0.675807232,0.768868352,-0.350814208,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621670042,0.703812709,0.517873792,-0.053872717,7.301,8.95,7.163,0.0
146742305619968.0,0.67567616,0.769196032,-0.351141888,-0.0360448,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.62166943,0.70381434,0.517872193,-0.053873826,7.301,8.95,7.163,0.0
146742624387072.0,0.675610624,0.769196032,-0.351338496,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621670197,0.703813369,0.5178725,-0.053874694,7.301,8.95,7.163,0.0
146742797592798.0,0.675610624,0.769196032,-0.351338496,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621670197,0.703813369,0.5178725,-0.053874694,7.304,8.953,7.163,0.0
146742943154176.0,0.67567616,0.768868352,-0.350748672,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621670805,0.70381399,0.517871021,-0.053873803,7.304,8.953,7.163,0.0
146743261921280.0,0.675938304,0.768933888,-0.350748672,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.62167213,0.703814001,0.517869459,-0.053873389,7.304,8.953,7.163,0.0
146743436568997.0,0.675938304,0.768933888,-0.350748672,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.62167213,0.703814001,0.517869459,-0.053873389,7.306,8.956,7.162,0.0
146743580688384.0,0.675872768,0.768933888,-0.351141888,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621673539,0.703813848,0.51786799,-0.053873223,7.306,8.956,7.162,0.0
146743899455488.0,0.675610624,0.768933888,-0.350814208,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621674358,0.703814072,0.517866733,-0.053872933,7.306,8.956,7.162,0.0
146744075534654.0,0.675610624,0.768933888,-0.350814208,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621674358,0.703814072,0.517866733,-0.053872933,7.307,8.957,7.16,0.0
146744218222592.0,0.675610624,0.768802816,-0.3506176,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621675445,0.703812822,0.517867015,-0.053874034,7.307,8.957,7.16,0.0
146744536989696.0,0.675872768,0.768933888,-0.3506176,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621676753,0.703811382,0.517867271,-0.053875282,7.307,8.957,7.16,0.0
146744714522467.0,0.675872768,0.768933888,-0.3506176,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621676753,0.703811382,0.517867271,-0.053875282,7.306,8.956,7.16,0.0
146744855756800.0,0.675938304,0.768999424,-0.35028992,-0.03670016,0.00131072,-0.00524288,16.908288,-15.07328,0.65536,0.621678177,0.703809798,0.517867567,-0.053876706,7.306,8.956,7.16,0.0
146745174523904.0,0.676397056,0.769196032,-0.350420992,-0.03670016,0.00065536,-0.00524288,16.908288,-15.07328,0.65536,0.621678736,0.703808057,0.517869301,-0.053876303,7.306,8.956,7.16,0.0
146745353500719.0,0.676397056,0.769196032,-0.350420992,-0.03670016,0.00065536,-0.00524288,16.908288,-15.07328,0.65536,0.621678736,0.703808057,0.517869301,-0.053876303,7.304,8.955,7.159,0.0
146745493291008.0,0.67600384,0.769327104,-0.350748672,-0.03735552,0.00065536,-0.00589824,16.908288,-15.07328,0.65536,0.621681318,0.703805883,0.517869482,-0.053873196,7.304,8.955,7.159,0.0
146745812058112.0,0.676134912,0.769589248,-0.351993856,-0.03670016,0.00065536,-0.00589824,16.908288,-15.07328,0.65536,0.621681511,0.703805937,0.517869422,-0.053870838,7.304,8.955,7.159,0.0
146745992465798.0,0.676134912,0.769589248,-0.351993856,-0.03670016,0.00065536,-0.00589824,16.908288,-15.07328,0.65536,0.621681511,0.703805937,0.517869422,-0.053870838,7.309,8.954,7.158,0.0
146746130825216.0,0.676069376,0.769785856,-0.352845824,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621681427,0.703806855,0.517868352,-0.053870103,7.309,8.954,7.158,0.0
146746449592320.0,0.675807232,0.76972032,-0.35291136,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621680182,0.703808571,0.517867629,-0.053868995,7.309,8.954,7.158,0.0
146746631442018.0,0.675807232,0.76972032,-0.35291136,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621680182,0.703808571,0.517867629,-0.053868995,7.309,8.955,7.157,0.0
146746768359424.0,0.675545088,0.769982464,-0.353173504,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621678756,0.703810501,0.517866857,-0.053867638,7.309,8.955,7.157,0.0
146747087126528.0,0.675741696,0.769785856,-0.353304576,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621677017,0.703812879,0.517865917,-0.05386569,7.309,8.955,7.157,0.0
146747270412784.0,0.675741696,0.769785856,-0.353304576,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621677017,0.703812879,0.517865917,-0.05386569,7.311,8.954,7.155,0.0
146747405893632.0,0.675414016,0.769523712,-0.35291136,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621675048,0.703815184,0.517865308,-0.053864159,7.311,8.954,7.155,0.0
146747724660736.0,0.675151872,0.769327104,-0.352518144,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.62167346,0.703817318,0.517864479,-0.053862553,7.311,8.954,7.155,0.0
146747909404641.0,0.675151872,0.769327104,-0.352518144,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.62167346,0.703817318,0.517864479,-0.053862553,7.314,8.958,7.154,0.0
146748043427840.0,0.675479552,0.768999424,-0.352256,-0.03670016,0.00131072,-0.00589824,16.908288,-15.07328,0.65536,0.621672299,0.703819252,0.517863419,-0.05386089,7.314,8.958,7.154,0.0
146748362194944.0,0.675545088,0.768999424,-0.351666176,-0.03670016,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621671446,0.703820668,0.517862615,-0.053859975,7.314,8.958,7.154,0.0
146748548379918.0,0.675545088,0.768999424,-0.351666176,-0.03670016,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621671446,0.703820668,0.517862615,-0.053859975,7.314,8.96,7.153,0.0
146748680962048.0,0.675807232,0.76939264,-0.351010816,-0.03735552,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621673341,0.703819884,0.517861625,-0.053857836,7.314,8.96,7.153,0.0
146748999729152.0,0.675807232,0.76939264,-0.351338496,-0.03735552,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621676423,0.703818459,0.517860085,-0.053855712,7.314,8.96,7.153,0.0
146749187357194.0,0.675807232,0.76939264,-0.351338496,-0.03735552,0.00131072,-0.00589824,15.72864,-13.893632,1.31072,0.621676423,0.703818459,0.517860085,-0.053855712,7.314,8.96,7.153,0.0
146749335273472.0,0.675872768,0.76939264,-0.351338496,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.621676999,0.703817589,0.517860485,-0.053856586,7.314,8.96,7.153,0.0
146749654040576.0,0.676134912,0.769130496,-0.351207424,-0.03670016,0.00196608,-0.00589824,15.72864,-13.893632,1.31072,0.621679111,0.703817913,0.517857389,-0.053857752,7.314,8.96,7.153,0.0
146749826334447.0,0.676134912,0.769130496,-0.351207424,-0.03670016,0.00196608,-0.00589824,15.72864,-13.893632,1.31072,0.621679111,0.703817913,0.517857389,-0.053857752,7.314,8.961,7.153,0.0
146749972807680.0,0.67600384,0.76906496,-0.351076352,-0.03670016,0.00196608,-0.00524288,15.72864,-13.893632,1.31072,0.621681199,0.703816517,0.517856424,-0.053861158,7.314,8.961,7.153,0.0
146750291574784.0,0.675938304,0.769196032,-0.35160064,-0.03670016,0.00131072,-0.00524288,15.72864,-13.893632,1.31072,0.62168203,0.703815238,0.517857012,-0.053862606,7.314,8.961,7.153,0.0
